gene_id	gene	group	count	log10count	group2
ENSG00000108691	CCL2	AD_T10_T12_1	14.81624	1.199103246460196	old
ENSG00000023445	BIRC3	AD_T10_T12_1	2.08439	0.4891692864150237	old
ENSG00000147889	CDKN2A	AD_T10_T12_1	43.586	1.649198511689143	old
ENSG00000136244	IL6	AD_T10_T12_1	0.68854	0.2275113531405234	old
ENSG00000108691	CCL2	AD_T10_T12_2	14.94037	1.2024983978062274	old
ENSG00000023445	BIRC3	AD_T10_T12_2	1.44003	0.3873951659921567	old
ENSG00000147889	CDKN2A	AD_T10_T12_2	32.93923	1.5307019849897747	old
ENSG00000136244	IL6	AD_T10_T12_2	0.41182	0.1497793298674388	old
ENSG00000108691	CCL2	AD_T10_T12_3	23.69357	1.3925838813138878	old
ENSG00000023445	BIRC3	AD_T10_T12_3	1.33981	0.3691805927512755	old
ENSG00000147889	CDKN2A	AD_T10_T12_3	38.88268	1.600784333945159	old
ENSG00000136244	IL6	AD_T10_T12_3	0.97845	0.2963250791163334	old
ENSG00000108691	CCL2	AD_T10_T12_4	16.36158	1.2395892458437638	old
ENSG00000023445	BIRC3	AD_T10_T12_4	3.527	0.6558104944952523	old
ENSG00000147889	CDKN2A	AD_T10_T12_4	47.35331	1.6844262088333293	old
ENSG00000136244	IL6	AD_T10_T12_4	0.58254	0.1993546959783224	old
ENSG00000108691	CCL2	AD_T10_T12_5	24.01538	1.3982071044870532	old
ENSG00000023445	BIRC3	AD_T10_T12_5	1.19712	0.3418537774096373	old
ENSG00000147889	CDKN2A	AD_T10_T12_5	65.306	1.8215528292945247	old
ENSG00000136244	IL6	AD_T10_T12_5	0.24576	0.0954343820380679	old
ENSG00000108691	CCL2	AD_T10_T12_6	22.14644	1.364484204544198	old
ENSG00000023445	BIRC3	AD_T10_T12_6	2.71097	0.5694874434657002	old
ENSG00000147889	CDKN2A	AD_T10_T12_6	48.46365	1.694286160475971	old
ENSG00000136244	IL6	AD_T10_T12_6	0.46213	0.16498598806143194	old
ENSG00000108691	CCL2	AD_T3_T5_1	1.9304	0.4669269056564884	young
ENSG00000023445	BIRC3	AD_T3_T5_1	0.53244	0.1853834794847243	young
ENSG00000147889	CDKN2A	AD_T3_T5_1	3.63358	0.6659166656324361	young
ENSG00000136244	IL6	AD_T3_T5_1	0	0	young
ENSG00000108691	CCL2	AD_T3_T5_2	3.08945	0.6116649026217946	young
ENSG00000023445	BIRC3	AD_T3_T5_2	1.06988	0.3159451682354316	young
ENSG00000147889	CDKN2A	AD_T3_T5_2	5.3954	0.805867712592634	young
ENSG00000136244	IL6	AD_T3_T5_2	0.02492	0.010689967914242395	young
ENSG00000108691	CCL2	AD_T3_T5_3	3.6173	0.6643880928989567	young
ENSG00000023445	BIRC3	AD_T3_T5_3	0.51874	0.18148343138082898	young
ENSG00000147889	CDKN2A	AD_T3_T5_3	6.04531	0.8479001072150555	young
ENSG00000136244	IL6	AD_T3_T5_3	0.0744	0.03116599966065895	young
ENSG00000108691	CCL2	AD_T3_T5_4	1.96482	0.4719983316362975	young
ENSG00000023445	BIRC3	AD_T3_T5_4	0.10381	0.042894324251029875	young
ENSG00000147889	CDKN2A	AD_T3_T5_4	9.97541	1.0404207528241087	young
ENSG00000136244	IL6	AD_T3_T5_4	0.05029	0.021309230508503512	young
ENSG00000108691	CCL2	AD_T3_T5_5	4.48336	0.7390467596316237	young
ENSG00000023445	BIRC3	AD_T3_T5_5	0.48889	0.17286261302572145	young
ENSG00000147889	CDKN2A	AD_T3_T5_5	12.28111	1.123234373731503	young
ENSG00000136244	IL6	AD_T3_T5_5	0.02502	0.010732339347771932	young
ENSG00000108691	CCL2	AD_T3_T5_6	1.78275	0.44447419142300715	young
ENSG00000023445	BIRC3	AD_T3_T5_6	0.19392	0.0769752273607351	young
ENSG00000147889	CDKN2A	AD_T3_T5_6	11.32985	1.0909577931757364	young
ENSG00000136244	IL6	AD_T3_T5_6	0.05033	0.021325770177056842	young
