UB_T12_1	UB_T12_2	UB_T12_3	UB_T3_1	UB_T3_2	UB_T3_3	gene_id	gene
46	101	195	20	41	15	ENSG00000136531	SCN2A
8	6	0	17	29	42	ENSG00000158352	SHROOM4
853	663	5164	219	100	62	ENSG00000196611	MMP1
15	5	105	5	1	2	ENSG00000077063	CTTNBP2
39	22	5	4	1	3	ENSG00000197142	ACSL5
6	6	3	25	12	38	ENSG00000163064	EN1
201	134	99	26	7	10	ENSG00000166592	RRAD
24	15	70	7	9	6	ENSG00000183111	ARHGEF37
10	5	7	37	22	31	ENSG00000114737	CISH
11	6	10	106	25	44	ENSG00000158164	TMSB15A
1	0	0	3	5	33	ENSG00000223865	HLA-DPB1
5	6	7	22	41	17	ENSG00000231007	CDC20P1
0	0	5	4	17	53	ENSG00000248958	ZSWIM5P3
34	165	28	1	8	0	ENSG00000115919	KYNU
122	292	184	865	1114	1291	ENSG00000182636	NDN
35	22	23	8	6	6	ENSG00000125740	FOSB
161	379	475	50	84	62	ENSG00000175084	DES
28	12	1	1	0	0	ENSG00000225886	AL445490.1
465	124	21	10	11	4	ENSG00000137959	IFI44L
19	24	19	3	2	4	ENSG00000149201	CCDC81
24	42	232	2	0	2	ENSG00000002745	WNT16
505	652	660	127	153	134	ENSG00000072041	SLC6A15
13	22	17	2	2	2	ENSG00000154736	ADAMTS5
194	109	36	2	1	6	ENSG00000125730	C3
8	8	58	4	1	2	ENSG00000157214	STEAP2
3	19	118	1	12	4	ENSG00000183801	OLFML1
21	81	47	0	4	2	ENSG00000233308	OSTN-AS1
181	227	851	42	90	26	ENSG00000163710	PCOLCE2
46	72	380	18	33	17	ENSG00000078018	MAP2
0	0	0	9	34	7	ENSG00000137726	FXYD6
53	149	17	1	0	1	ENSG00000241644	INMT
4	3	4	10	66	26	ENSG00000167244	IGF2
57	20	25	7	7	6	ENSG00000163131	CTSS
16	2	5	167	83	88	ENSG00000118513	MYB
1338	219	102	62	24	28	ENSG00000111335	OAS2
21	15	8	3	3	3	ENSG00000160408	ST6GALNAC6
41	87	2	9	9	2	ENSG00000145808	ADAMTS19
23	13	14	2	0	2	ENSG00000172399	MYOZ2
