UB_T12_1	UB_T12_2	UB_T12_3	UB_T5_1	UB_T5_2	UB_T5_3	gene_id	gene
3	43	15	3	1	3	ENSG00000213417	KRTAP2-4
167	99	286	56	49	45	ENSG00000119714	GPR68
6	6	3	42	28	64	ENSG00000163064	EN1
1	7	0	7	26	54	ENSG00000113532	ST8SIA4
11	6	10	83	42	51	ENSG00000158164	TMSB15A
20	16	22	3	1	5	ENSG00000105246	EBI3
32	21	9	68	71	199	ENSG00000140563	MCTP2
20	81	4	0	2	0	ENSG00000149968	MMP3
122	292	184	626	1085	1239	ENSG00000182636	NDN
0	1	0	24	28	2	ENSG00000176194	CIDEA
37	40	24	183	198	136	ENSG00000164509	IL31RA
161	379	475	56	42	18	ENSG00000175084	DES
26	41	26	5	7	1	ENSG00000105088	OLFM2
24	42	232	0	1	0	ENSG00000002745	WNT16
13	22	17	0	3	1	ENSG00000154736	ADAMTS5
194	109	36	7	6	12	ENSG00000125730	C3
21	81	47	2	6	3	ENSG00000233308	OSTN-AS1
181	227	851	76	145	50	ENSG00000163710	PCOLCE2
46	72	380	20	16	19	ENSG00000078018	MAP2
53	149	17	17	8	5	ENSG00000241644	INMT
24	17	2	107	75	87	ENSG00000228203	RNF144A-AS1
4	3	4	26	57	7	ENSG00000167244	IGF2
16	2	5	66	20	56	ENSG00000118513	MYB
4	1	1	10	16	25	ENSG00000196632	WNK3
338	403	110	18	3	14	ENSG00000115009	CCL20
59	26	59	22	12	5	ENSG00000185860	CCDC190
59	67	26	14	8	5	ENSG00000189001	SBSN
118	268	86	5	45	26	ENSG00000131386	GALNT15
31	28	19	13	4	5	ENSG00000008735	MAPK8IP2
921	1352	480	69	201	181	ENSG00000169429	CXCL8
0	0	2	11	20	24	ENSG00000255690	TRIL
20	24	21	2	7	2	ENSG00000163815	CLEC3B
99	70	50	490	368	210	ENSG00000162595	DIRAS3
14	17	18	109	82	66	ENSG00000007968	E2F2
7	16	26	0	0	1	ENSG00000187094	CCK
173	92	142	936	711	572	ENSG00000149809	TM7SF2
2	0	1	44	10	5	ENSG00000133055	MYBPH
23	103	35	10	13	11	ENSG00000112183	RBM24
23	8	21	0	0	0	ENSG00000007908	SELE
80	37	15	258	207	375	ENSG00000061337	LZTS1
11	18	24	1	0	0	ENSG00000170044	ZPLD1
45	35	6	138	150	160	ENSG00000099284	H2AFY2
133	32	6	879	573	487	ENSG00000176887	SOX11
47	66	9	305	411	445	ENSG00000156466	GDF6
3	2	0	32	14	8	ENSG00000179314	WSCD1
79	23	21	12	10	3	ENSG00000115290	GRB14
206	47	113	18	32	13	ENSG00000232855	AF165147.1
8	5	1	25	34	26	ENSG00000214140	PRCD
14	18	42	206	112	111	ENSG00000165821	SALL2
27	13	15	1	6	4	ENSG00000205054	LINC01121
24	18	49	8	9	5	ENSG00000123364	HOXC13
23	109	24	0	7	7	ENSG00000125845	BMP2
43	10	13	142	61	163	ENSG00000114115	RBP1
18	21	20	2	0	1	ENSG00000147697	GSDMC
39	15	6	122	52	168	ENSG00000104369	JPH1
25	101	7	0	9	4	ENSG00000211448	DIO2
628	793	1967	378	162	189	ENSG00000138675	FGF5
96	96	12	10	5	2	ENSG00000163347	CLDN1
149	173	88	17	26	35	ENSG00000180596	HIST1H2BC
570	687	196	126	125	91	ENSG00000123610	TNFAIP6
21	32	101	1	4	5	ENSG00000186847	KRT14
36	15	3	119	75	60	ENSG00000152284	TCF7L1
130	127	70	16	20	36	ENSG00000130176	CNN1
29	21	8	0	0	0	ENSG00000173432	SAA1
28	58	73	0	3	10	ENSG00000226835	AC097059.1
3	0	0	42	25	9	ENSG00000066735	KIF26A
