baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	gene
833.4907275700548	-3.2451106841467396	0.29420262006148906	down	2.732882471138309e-28	1.0062473258731254e-24	ENSG00000066279	ASPM
141.64612579873037	2.7799211344892507	0.306625918490139	up	1.2327983429081953e-19	8.253024542887228e-17	ENSG00000219607	PPP1R3G
1282.9584575171996	-2.448191171701869	0.19578544798180939	down	7.057838413953101e-36	1.0394784416070128e-31	ENSG00000112984	KIF20A
2309.7584128878666	-2.830921542928901	0.24252730723039204	down	1.759849955388351e-31	1.2959535071479816e-27	ENSG00000148773	MKI67
1545.415595840604	2.3441067200079813	0.2590528671210521	up	1.4460357706926305e-19	9.259658622070027e-17	ENSG00000166165	CKB
427.44562649503143	-2.996222606992651	0.29277950261428626	down	1.4003881160696806e-24	2.946416596210608e-21	ENSG00000138182	KIF20B
1061.9536253910264	2.3724950919660137	0.2704052077310486	up	1.7265714858232695e-18	9.081766015430399e-16	ENSG00000104936	DMPK
404.24591357548223	-3.0404060044900443	0.29142068396860216	down	1.7517695158852323e-25	4.300010238326283e-22	ENSG00000092853	CLSPN
509.14109801857273	2.724933274311976	0.25864364143490987	up	5.92840645033081e-26	1.7462714040094433e-22	ENSG00000180573	HIST1H2AC
72.09788122348428	4.050431531226319	0.4349461117150199	up	1.2486940095134986e-20	1.2260510248076539e-17	ENSG00000163431	LMOD1
22.00162036202587	5.022515327755546	1.0567104114241108	up	2.004478065831118e-6	4.1059739851962045e-5	ENSG00000002745	WNT16
8.135350190602052	-6.473041783663198	1.5452340638798605	down	2.801414318113581e-5	3.767966217093774e-4	ENSG00000137726	FXYD6
30.489727923337632	6.521690643432291	1.2257331009392942	up	1.0340002168239545e-7	3.4376422558427093e-6	ENSG00000241644	INMT
8.671845890626063	-6.564560519807291	1.4604558049009866	down	6.961211836527411e-6	1.1838883132606896e-4	ENSG00000241634	AC069499.1
14.076019388111312	-5.368610587498844	1.2164342433185447	down	1.0175984897315183e-5	1.620384714001743e-4	ENSG00000275591	XKR5
12.209065606210885	6.094911683871517	1.4512066717436727	up	2.6704200693979268e-5	3.6148848145305763e-4	ENSG00000125845	BMP2
17.57592722465098	-4.6689231618283635	1.0540305835357664	down	9.441247778988718e-6	1.5230087326281033e-4	ENSG00000066735	KIF26A
16.73511938361202	5.649851345058025	1.2667794478289085	up	8.195512252958586e-6	1.35774470710432e-4	ENSG00000162631	NTNG1
11.584173502997027	-5.077139852594447	1.3530732982788203	down	1.7521809981965806e-4	0.0017135539004939735	ENSG00000155966	AFF2
44.11902030646391	6.4711836203504305	1.6299961651134	up	7.185434157008716e-5	8.356779035027295e-4	ENSG00000124107	SLPI
