UB_T12_1	UB_T12_2	UB_T12_3	UB_T8_1	UB_T8_2	UB_T8_3	gene_id	gene
338	403	110	22	21	7	ENSG00000115009	CCL20
921	1352	480	127	265	170	ENSG00000169429	CXCL8
149	340	74	45	48	33	ENSG00000125538	IL1B
570	687	196	102	66	12	ENSG00000123610	TNFAIP6
21	32	101	6	8	3	ENSG00000186847	KRT14
48	29	19	7	4	3	ENSG00000152402	GUCY1A2
31	25	12	0	1	0	ENSG00000125726	CD70
767	885	199	87	85	55	ENSG00000162692	VCAM1
76	80	92	18	24	15	ENSG00000197614	MFAP5
960	432	791	226	92	229	ENSG00000148677	ANKRD1
95	85	26	17	8	2	ENSG00000049249	TNFRSF9
2027	1737	1022	362	219	123	ENSG00000090339	ICAM1
205	243	118	33	42	4	ENSG00000271503	CCL5
