UB_T10_1	UB_T10_2	UB_T10_3	UB_T3_1	UB_T3_2	UB_T3_3	gene_id	gene
98	130	178	801	529	345	ENSG00000092470	WDR76
9	13	27	149	124	83	ENSG00000175305	CCNE2
22	17	9	2	0	6	ENSG00000238078	LINC01352
25	16	11	5	2	1	ENSG00000266904	LINC00663
763	532	3340	219	100	62	ENSG00000196611	MMP1
1	9	56	5	1	2	ENSG00000077063	CTTNBP2
106	190	183	1217	2103	1289	ENSG00000066279	ASPM
37	15	10	4	1	3	ENSG00000197142	ACSL5
10	15	28	76	98	43	ENSG00000170264	FAM161A
181	109	21	647	495	266	ENSG00000164761	TNFRSF11B
112	60	56	26	7	10	ENSG00000166592	RRAD
49	21	58	7	9	6	ENSG00000183111	ARHGEF37
49	30	42	5	13	11	ENSG00000162078	ZG16B
1	1	1	5	19	28	ENSG00000113532	ST8SIA4
4	6	6	5	32	51	ENSG00000115896	PLCL1
46	61	79	308	347	315	ENSG00000118412	CASP8AP2
60	79	177	585	785	477	ENSG00000117650	NEK2
10	9	21	106	25	44	ENSG00000158164	TMSB15A
5	5	3	4	17	53	ENSG00000248958	ZSWIM5P3
0	2	2	7	19	13	ENSG00000254535	PABPC4L
121	165	247	1016	924	493	ENSG00000143476	DTL
6	1	14	54	31	24	ENSG00000100206	DMC1
24	29	23	5	6	5	ENSG00000140297	GCNT3
133	346	382	50	84	62	ENSG00000175084	DES
22	50	41	157	184	151	ENSG00000122483	CCDC18
75	31	4	10	11	4	ENSG00000137959	IFI44L
13	22	95	2	0	2	ENSG00000002745	WNT16
222	300	457	1364	1642	1042	ENSG00000090889	KIF4A
109	252	288	1674	2601	1775	ENSG00000117724	CENPF
27	37	37	139	162	126	ENSG00000166004	CEP295
128	38	15	2	1	6	ENSG00000125730	C3
95	113	269	794	993	587	ENSG00000080986	NDC80
2	7	3	24	20	11	ENSG00000134755	DSC2
7	24	32	136	150	79	ENSG00000103995	CEP152
6	56	72	1	12	4	ENSG00000183801	OLFML1
89	121	221	885	1295	819	ENSG00000024526	DEPDC1
29	15	40	5	8	8	ENSG00000105427	CNFN
9	46	31	0	4	2	ENSG00000233308	OSTN-AS1
195	366	957	42	90	26	ENSG00000163710	PCOLCE2
22	6	1	36	27	77	ENSG00000180287	PLD5
23	46	23	1	8	3	ENSG00000205795	CYS1
29	61	63	435	767	461	ENSG00000118193	KIF14
0	0	0	9	34	7	ENSG00000137726	FXYD6
65	101	14	1	0	1	ENSG00000241644	INMT
0	0	0	11	27	15	ENSG00000241634	AC069499.1
24	55	8	5	10	3	ENSG00000184060	ADAP2
10	6	8	167	83	88	ENSG00000118513	MYB
17	16	12	27	149	57	ENSG00000189056	RELN
3	2	0	12	20	23	ENSG00000267383	AC011447.3
34	20	24	7	2	10	ENSG00000213889	PPM1N
1552	896	203	298	149	117	ENSG00000169174	PCSK9
53	55	115	282	394	245	ENSG00000182504	CEP97
87	63	52	9	12	14	ENSG00000115009	CCL20
20	23	3	127	125	67	ENSG00000187068	C3orf70
29	42	79	3	20	14	ENSG00000198074	AKR1B10
110	144	439	1116	1353	738	ENSG00000168078	PBK
203	176	64	737	488	694	ENSG00000091972	CD200
252	207	287	31	48	31	ENSG00000219607	PPP1R3G
45	52	84	318	342	233	ENSG00000185480	PARPBP
300	404	553	1674	2042	1462	ENSG00000114346	ECT2
52	20	9	8	5	7	ENSG00000242173	ARHGDIG
0	1	3	2	4	53	ENSG00000274615	AC233968.1
67	16	3	5	0	4	ENSG00000183114	FAM43B
19	37	9	2	7	4	ENSG00000169744	LDB2
27	36	81	326	344	187	ENSG00000197299	BLM
26	58	96	11	17	9	ENSG00000170323	FABP4
296	319	79	41	63	44	ENSG00000139567	ACVRL1
185	18	30	23	10	13	ENSG00000165949	IFI27
17	12	17	65	109	79	ENSG00000197020	ZNF100
145	177	386	963	1165	770	ENSG00000139734	DIAPH3
19	10	80	252	233	149	ENSG00000171320	ESCO2
14	44	13	1	5	7	ENSG00000163815	CLEC3B
65	102	53	293	373	238	ENSG00000116127	ALMS1
23	20	32	157	219	103	ENSG00000138658	ZGRF1
113	63	80	996	497	245	ENSG00000162595	DIRAS3
147	248	386	1470	2063	1339	ENSG00000198826	ARHGAP11A
68	129	162	575	557	328	ENSG00000080839	RBL1
453	317	154	89	93	49	ENSG00000243742	RPLP0P2
28	22	15	232	152	85	ENSG00000007968	E2F2
170	199	90	29	37	45	ENSG00000111907	TPD52L1
73	92	155	527	752	521	ENSG00000112742	TTK
34	16	38	2	11	6	ENSG00000183248	PRR36
120	182	422	1753	1583	1075	ENSG00000109805	NCAPG
1	1	0	41	19	24	ENSG00000275591	XKR5
105	127	124	19	15	35	ENSG00000158406	HIST1H4H
3	17	42	105	140	88	ENSG00000156876	SASS6
15	10	19	2	0	4	ENSG00000187094	CCK
3	6	12	14	15	57	ENSG00000163293	NIPAL1
132	69	52	23	25	16	ENSG00000166924	NYAP1
130	143	9	23	19	19	ENSG00000184185	KCNJ12
72	67	129	504	440	310	ENSG00000146263	MMS22L
11	8	20	1	0	1	ENSG00000280241	AC079298.3
94	111	33	15	25	13	ENSG00000103175	WFDC1
12	28	10	4	2	1	ENSG00000080709	KCNN2
41	13	11	5	1	1	ENSG00000117595	IRF6
707	537	264	155	121	92	ENSG00000105514	RAB3D
327	455	707	2120	2889	1640	ENSG00000145386	CCNA2
42	55	107	320	309	221	ENSG00000178966	RMI1
23	25	55	487	335	266	ENSG00000189057	FAM111B
198	237	442	1425	1533	985	ENSG00000137804	NUSAP1
4	5	4	29	30	37	ENSG00000196081	ZNF724
3	6	5	34	20	14	ENSG00000157470	FAM81A
92	86	51	8	9	29	ENSG00000279117	AP001972.5
131	166	373	1578	1777	1160	ENSG00000126787	DLGAP5
133	34	20	1011	736	728	ENSG00000176887	SOX11
122	43	26	7	3	21	ENSG00000124212	PTGIS
20	19	66	10	8	6	ENSG00000123407	HOXC12
7	6	2	14	30	22	ENSG00000284906	AC091057.5
87	86	78	6	5	25	ENSG00000125538	IL1B
65	233	27	20	35	11	ENSG00000074211	PPP2R2C
5	2	25	140	83	49	ENSG00000213160	KLHL23
13	11	43	1	5	1	ENSG00000134716	CYP2J2
24	23	15	7	4	4	ENSG00000248079	DPH6-AS1
43	37	15	7	6	6	ENSG00000105963	ADAP1
362	406	429	2303	2502	1825	ENSG00000112984	KIF20A
218	213	309	1506	1255	845	ENSG00000156802	ATAD2
505	480	826	134	145	148	ENSG00000161281	COX7A1
133	200	85	23	69	9	ENSG00000109846	CRYAB
353	400	515	1986	2020	1249	ENSG00000076382	SPAG5
183	210	97	30	23	27	ENSG00000100100	PIK3IP1
2	17	69	0	5	4	ENSG00000129422	MTUS1
10	14	8	37	82	44	ENSG00000280347	AC000123.3
25	35	42	214	289	217	ENSG00000100629	CEP128
22	13	33	5	4	3	ENSG00000123364	HOXC13
596	210	519	141	34	140	ENSG00000138316	ADAMTS14
1069	1059	3249	401	121	274	ENSG00000179862	CITED4
10	48	14	0	1	0	ENSG00000125845	BMP2
62	26	30	14	8	7	ENSG00000088340	FER1L4
112	180	347	1366	1741	1169	ENSG00000138160	KIF11
84	126	7	8	4	10	ENSG00000072952	MRVI1
66	29	28	4	11	8	ENSG00000141854	MISP3
24	52	110	389	528	296	ENSG00000163808	KIF15
928	1040	1647	5479	5517	3683	ENSG00000117399	CDC20
114	155	261	1133	1499	941	ENSG00000156970	BUB1B
59	48	16	234	260	157	ENSG00000214357	NEURL1B
16	10	22	136	82	77	ENSG00000129173	E2F8
73	25	25	124	218	303	ENSG00000114115	RBP1
11	56	125	7	13	21	ENSG00000180660	MAB21L1
145	209	435	1321	1315	827	ENSG00000164109	MAD2L1
19	7	14	103	41	89	ENSG00000104369	JPH1
272	194	139	47	47	55	ENSG00000184678	HIST2H2BE
3	2	2	12	30	4	ENSG00000069188	SDK2
260	327	1085	106	100	122	ENSG00000138675	FGF5
69	118	165	861	1312	850	ENSG00000137812	KNL1
4	13	106	5	10	1	ENSG00000089225	TBX5
83	199	15	19	25	15	ENSG00000110042	DTX4
1020	2254	179	115	274	212	ENSG00000117594	HSD11B1
301	214	108	60	50	33	ENSG00000083454	P2RX5
82	84	35	16	18	14	ENSG00000180596	HIST1H2BC
8	4	26	0	3	0	ENSG00000152208	GRID2
103	80	102	559	412	270	ENSG00000085840	ORC1
418	639	658	3969	5092	3325	ENSG00000148773	MKI67
11	20	36	278	198	110	ENSG00000136492	BRIP1
151	157	96	38	26	23	ENSG00000130176	CNN1
25	23	23	3	5	8	ENSG00000248869	LINC02511
16	37	258	1	11	11	ENSG00000165300	SLITRK5
311	176	203	26	39	40	ENSG00000103269	RHBDL1
11	38	79	2	10	6	ENSG00000226835	AC097059.1
4	0	0	60	30	14	ENSG00000066735	KIF26A
69	93	37	11	10	10	ENSG00000160161	CILP2
7	5	15	53	41	24	ENSG00000197275	RAD54B
15	27	41	148	176	82	ENSG00000133739	LRRCC1
196	215	418	1605	1734	1102	ENSG00000169679	BUB1
18	29	15	2	1	9	ENSG00000179292	TMEM151A
3449	2405	1907	609	522	424	ENSG00000166165	CKB
62	170	14	18	27	12	ENSG00000196557	CACNA1H
36	46	19	175	149	170	ENSG00000179242	CDH4
30	77	59	274	377	328	ENSG00000203668	CHML
52	107	13	14	12	3	ENSG00000160191	PDE9A
62	107	118	667	1004	651	ENSG00000138182	KIF20B
15	26	10	1	2	3	ENSG00000058404	CAMK2B
42	43	60	203	214	173	ENSG00000174799	CEP135
2462	1663	1223	368	369	313	ENSG00000104936	DMPK
6	4	2	38	14	45	ENSG00000112182	BACH2
17	34	45	4	4	8	ENSG00000112981	NME5
37	38	2	2	2	0	ENSG00000163898	LIPH
28	28	12	8	6	1	ENSG00000102057	KCND1
88	30	67	15	5	17	ENSG00000076344	RGS11
43	32	79	382	409	224	ENSG00000051341	POLQ
29	20	29	2	6	4	ENSG00000132185	FCRLA
3	5	5	46	13	15	ENSG00000179841	AKAP5
39	58	178	14	9	19	ENSG00000059915	PSD
7	16	13	60	62	31	ENSG00000171791	BCL2
5	4	4	16	28	12	ENSG00000183850	ZNF730
65	223	126	30	41	29	ENSG00000134245	WNT2B
1	3	6	36	57	21	ENSG00000015568	RGPD5
71	136	137	562	956	612	ENSG00000138778	CENPE
55	49	17	4	6	0	ENSG00000137393	RNF144B
2	1	1	5	19	15	ENSG00000152580	IGSF10
7	3	10	26	30	47	ENSG00000170500	LONRF2
0	3	4	51	34	24	ENSG00000197977	ELOVL2
1748	2381	623	320	270	435	ENSG00000130707	ASS1
50	70	240	656	764	484	ENSG00000143228	NUF2
10	43	46	0	2	0	ENSG00000162631	NTNG1
40	18	25	8	8	5	ENSG00000089847	ANKRD24
2	4	1	20	14	18	ENSG00000276672	AL161891.1
440	342	105	86	75	53	ENSG00000205978	NYNRIN
16	5	145	2	5	8	ENSG00000149527	PLCH2
61	40	29	9	7	6	ENSG00000160460	SPTBN4
17	23	53	149	164	93	ENSG00000129810	SGO1
1	1	7	29	20	9	ENSG00000215417	MIR17HG
523	544	778	3044	3378	2100	ENSG00000113368	LMNB1
23	58	53	280	354	234	ENSG00000139618	BRCA2
5	5	2	17	48	22	ENSG00000054356	PTPRN
25	53	86	335	364	213	ENSG00000035499	DEPDC1B
28	50	72	248	337	240	ENSG00000121621	KIF18A
33	13	152	17	3	11	ENSG00000146197	SCUBE3
32	15	19	6	1	4	ENSG00000237476	LINC01637
113	197	586	1251	1510	1051	ENSG00000170312	CDK1
38	106	166	11	9	3	ENSG00000155816	FMN2
19	26	28	99	102	97	ENSG00000146757	ZNF92
246	320	39	25	24	34	ENSG00000101210	EEF1A2
88	108	271	28	45	15	ENSG00000188487	INSC
19	29	47	132	200	129	ENSG00000246859	STARD4-AS1
66	97	101	877	849	483	ENSG00000092853	CLSPN
44	69	108	325	473	274	ENSG00000178295	GEN1
30	22	36	92	229	130	ENSG00000133107	TRPC4
12	18	24	99	94	56	ENSG00000163006	CCDC138
186	188	271	1262	1192	801	ENSG00000129195	PIMREG
1	8	5	34	38	23	ENSG00000175322	ZNF519
9	11	1	21	39	42	ENSG00000203727	SAMD5
97	127	155	814	802	463	ENSG00000186193	SAPCD2
4	4	8	26	32	20	ENSG00000198901	PRC1
6	4	1	26	14	19	ENSG00000261762	AC027228.2
11	43	50	8	6	10	ENSG00000185519	FAM131C
13	36	39	182	165	118	ENSG00000176208	ATAD5
439	396	766	2885	2400	1385	ENSG00000171848	RRM2
