UB_T5_1	UB_T5_2	UB_T5_3	UB_T8_1	UB_T8_2	UB_T8_3	gene_id	gene
62	20	4	901	579	108	ENSG00000135114	OASL
64	51	8	4	5	2	ENSG00000215914	MMP23A
56	42	18	183	454	240	ENSG00000175084	DES
0	1	0	9	22	35	ENSG00000002745	WNT16
2	6	3	10	42	30	ENSG00000233308	OSTN-AS1
66	20	56	10	3	16	ENSG00000118513	MYB
3	0	0	39	5	28	ENSG00000137473	TTC29
109	82	66	26	24	9	ENSG00000007968	E2F2
879	573	487	301	99	59	ENSG00000176887	SOX11
305	411	445	97	124	32	ENSG00000156466	GDF6
18	32	13	181	77	35	ENSG00000232855	AF165147.1
27	12	12	415	19	285	ENSG00000187243	MAGED4B
55	25	43	15	3	7	ENSG00000225151	GOLGA2P7
86	64	87	20	2	11	ENSG00000103522	IL21R
149	176	653	87	85	55	ENSG00000162692	VCAM1
22	3	11	55	66	111	ENSG00000107562	CXCL12
12	34	13	56	84	228	ENSG00000155816	FMN2
23	24	27	128	145	298	ENSG00000188487	INSC
48	37	31	9	1	7	ENSG00000102230	PCYT1B
3	3	1	84	69	19	ENSG00000116701	NCF2
11	8	7	13	26	241	ENSG00000186897	C1QL4
46	18	24	8	4	0	ENSG00000100427	MLC1
20	11	36	151	42	82	ENSG00000169067	ACTBL2
884	617	327	116	99	33	ENSG00000101265	RASSF2
1	0	2	33	31	18	ENSG00000073737	DHRS9
41	27	37	6	5	11	ENSG00000280152	AC009078.3
6	6	3	20	16	196	ENSG00000159184	HOXB13
14	9	4	35	26	47	ENSG00000001617	SEMA3F
45	130	97	10	20	12	ENSG00000133110	POSTN
150	56	73	33	12	15	ENSG00000100078	PLA2G3
18	17	21	75	50	92	ENSG00000185972	CCIN
241	88	156	35	32	19	ENSG00000172379	ARNT2
