UB_T3_1	UB_T3_2	UB_T3_3	UB_T5_1	UB_T5_2	UB_T5_3	gene_id	gene
219	100	62	1031	692	311	ENSG00000196611	MMP1
177	96	106	658	510	619	ENSG00000101670	LIPG
26	7	10	105	68	39	ENSG00000166592	RRAD
298	149	117	2255	1231	1084	ENSG00000169174	PCSK9
27	87	47	14	8	5	ENSG00000189001	SBSN
11	17	9	110	36	43	ENSG00000170323	FABP4
105	52	89	936	711	572	ENSG00000149809	TM7SF2
7	3	21	84	27	53	ENSG00000124212	PTGIS
30	23	27	136	124	125	ENSG00000100100	PIK3IP1
141	34	140	693	250	495	ENSG00000138316	ADAMTS14
79	19	49	447	110	212	ENSG00000165507	DEPP1
1	2	9	86	64	87	ENSG00000103522	IL21R
1482	1210	1117	7596	6016	6222	ENSG00000112972	HMGCS1
46	56	136	15	20	30	ENSG00000087494	PTHLH
59	114	82	15	10	12	ENSG00000238266	LINC00707
16	5	28	71	23	163	ENSG00000205572	SERF1B
18	4	15	135	41	44	ENSG00000134594	RAB33A
356	65	335	75	39	34	ENSG00000160201	U2AF1
8	6	11	105	38	77	ENSG00000163431	LMOD1
146	826	345	45	130	97	ENSG00000133110	POSTN
13	8	7	150	56	73	ENSG00000100078	PLA2G3
6	3	8	88	18	48	ENSG00000171873	ADRA1D
87	35	69	824	386	379	ENSG00000121769	FABP3
80	166	309	52	40	59	ENSG00000166482	MFAP4
22	20	6	118	60	58	ENSG00000174669	SLC29A2
