gene	stat
AC241585.2	up
ADAMTS19	up
AL078621.3	up
AL445490.1	up
ANKRD6	down
ATF3	up
BATF2	up
CAVIN4	up
CBX2	down
CCDC81	up
CDC20P1	down
CELF5	up
CISH	down
COL11A1	up
COL14A1	down
CSMD3	up
CTSS	up
DBNDD1	up
DTNA	up
ELMOD1	up
ELN	down
EPSTI1	up
F2RL2	up
FBLN7	down
FOSB	up
GOLGA8O	up
GRIP2	up
HDAC9	up
HES4	up
HIST1H2BG	up
HLA-DPB1	down
IFI6	up
IL1A	up
IL32	up
IL33	up
JAG2	up
KYNU	up
LINC01679	down
LINC02015	up
MYOZ2	up
NAT8L	up
NCAM1	down
OAS2	up
OLAH	up
PCDH12	up
PURPL	up
SCN2A	up
SEMA3E	up
SEMA6B	up
SHROOM4	down
SLC16A12	up
SLC38A11	up
SLITRK2	up
SP140	up
ST6GALNAC6	up
TBX21	down
TNFAIP2	up
USP44	up
VSTM4	down
ZNF681	down
ZYG11A	down
