AD_T10_1	AD_T10_2	AD_T10_3	AD_T5_1	AD_T5_2	AD_T5_3	gene_id	gene
36	59	62	0	0	0	ENSG00000213417	KRTAP2-4
83	97	76	473	461	477	ENSG00000131652	THOC6
5	3	0	42	69	27	ENSG00000010319	SEMA3G
1	6	4	21	27	17	ENSG00000145861	C1QTNF2
42	72	87	452	1098	588	ENSG00000204291	COL15A1
10	6	11	36	30	56	ENSG00000212864	RNF208
11	14	18	52	65	67	ENSG00000168646	AXIN2
11	2	5	39	40	60	ENSG00000152078	TMEM56
1	1	8	17	29	8	ENSG00000129595	EPB41L4A
0	0	0	13	5	2	ENSG00000245105	A2M-AS1
11	39	62	161	154	174	ENSG00000152049	KCNE4
32	29	15	4	0	4	ENSG00000232679	LINC01705
39	25	29	7	8	6	ENSG00000233559	LINC00513
27	13	36	2	13	2	ENSG00000238078	LINC01352
599	592	953	75	172	68	ENSG00000108691	CCL2
125	198	128	862	852	592	ENSG00000066279	ASPM
17	13	13	0	0	0	ENSG00000147234	FRMPD3
0	0	0	7	5	4	ENSG00000092850	TEKT2
3	5	6	27	18	27	ENSG00000277969	AC006449.6
24	31	21	133	118	134	ENSG00000205221	VIT
14	6	4	124	106	56	ENSG00000162944	RFTN2
0	0	0	6	12	5	ENSG00000278952	AP003068.4
33	20	29	4	12	2	ENSG00000281468	AC006504.8
6	11	10	85	83	117	ENSG00000175567	UCP2
9	69	36	358	271	655	ENSG00000112655	PTK7
55	37	22	6	7	7	ENSG00000113494	PRLR
14	3	11	0	0	0	ENSG00000251416	AC103879.1
174	140	111	25	5	17	ENSG00000091129	NRCAM
16	18	18	1	2	0	ENSG00000251248	AC139720.2
5	3	3	23	21	19	ENSG00000264575	LINC00526
56738	36854	33907	14116	6716	9433	ENSG00000115461	IGFBP5
49	106	104	373	354	414	ENSG00000135451	TROAP
31	21	31	7	12	3	ENSG00000244459	AC147067.1
1	0	0	9	13	6	ENSG00000164188	RANBP3L
64	61	33	6	4	0	ENSG00000167861	HID1
45	67	25	1	0	0	ENSG00000250038	AC109588.1
104	27	38	15	1	3	ENSG00000149968	MMP3
369	99	115	47	5	15	ENSG00000115919	KYNU
325	123	129	1237	664	680	ENSG00000182636	NDN
3	0	3	38	12	31	ENSG00000176194	CIDEA
7	15	9	105	83	132	ENSG00000119630	PGF
1174	809	1086	136	179	151	ENSG00000169862	CTNND2
52	173	131	887	641	902	ENSG00000123080	CDKN2C
843	671	917	218	209	188	ENSG00000128590	DNAJB9
11	11	6	102	77	58	ENSG00000081181	ARG2
24	24	42	279	213	182	ENSG00000102935	ZNF423
7	4	14	0	0	0	ENSG00000261017	AC096996.1
1439	1789	2954	149	370	169	ENSG00000149591	TAGLN
46	8	14	7	0	2	ENSG00000203837	PNLIPRP3
68	42	57	427	253	213	ENSG00000151692	RNF144A
28	52	47	208	251	209	ENSG00000170915	PAQR8
249	255	297	36	43	59	ENSG00000002745	WNT16
2	3	1	28	15	26	ENSG00000182168	UNC5C
167	211	187	909	1107	629	ENSG00000117724	CENPF
16	9	13	76	50	68	ENSG00000163251	FZD5
307	194	200	33	39	41	ENSG00000100739	BDKRB1
0	1	0	8	16	8	ENSG00000104081	BMF
7	7	12	38	40	57	ENSG00000158813	EDA
27	9	9	2	1	0	ENSG00000250129	AC116424.1
23	13	6	0	1	2	ENSG00000198203	SULT1C2
24	24	20	184	151	148	ENSG00000064309	CDON
803	354	721	42	69	27	ENSG00000125730	C3
1	2	2	14	20	18	ENSG00000261572	AC097639.1
0	0	0	10	11	2	ENSG00000173930	SLCO4C1
41	12	52	151	186	117	ENSG00000183801	OLFML1
0	1	0	39	46	56	ENSG00000137265	IRF4
177	223	227	3	12	5	ENSG00000233308	OSTN-AS1
1	0	0	10	19	2	ENSG00000271447	MMP28
29	9	31	6	6	2	ENSG00000253981	ALG1L13P
320	430	419	1181	2020	1938	ENSG00000060656	PTPRU
22	38	67	4	7	13	ENSG00000267669	AC098847.1
6	1	2	16	16	21	ENSG00000271857	AL096865.1
18	16	16	2	4	3	ENSG00000108688	CCL7
1	7	1	86	75	63	ENSG00000213626	LBH
9	13	26	0	1	4	ENSG00000227028	SLC8A1-AS1
3	5	8	49	23	10	ENSG00000228203	RNF144A-AS1
0	0	3	45	33	35	ENSG00000183196	CHST6
6	4	13	42	38	19	ENSG00000122824	NUDT10
363	732	791	2656	2597	2788	ENSG00000167900	TK1
22	2	8	0	0	0	ENSG00000253628	AC110011.1
8	2	10	37	56	29	ENSG00000197405	C5AR1
965	1027	1222	243	255	236	ENSG00000197182	MIRLET7BHG
175	175	219	45	27	16	ENSG00000172399	MYOZ2
30	24	21	270	202	286	ENSG00000092068	SLC7A8
23	9	27	2	10	1	ENSG00000165474	GJB2
3	20	24	1	1	0	ENSG00000117600	PLPPR4
6	12	59	630	612	412	ENSG00000169174	PCSK9
10510	13557	13514	2542	2983	2936	ENSG00000101335	MYL9
14	19	15	4	6	2	ENSG00000115339	GALNT3
27	11	35	0	4	0	ENSG00000133800	LYVE1
