AD_T10_1	AD_T10_2	AD_T10_3	AD_T12_1	AD_T12_2	AD_T12_3	gene_id	gene
64	61	33	6	1	3	ENSG00000167861	HID1
36	24	69	12	6	5	ENSG00000156804	FBXO32
7	8	10	46	195	43	ENSG00000164283	ESM1
75	53	73	252	491	95	ENSG00000170323	FABP4
11	10	8	102	28	48	ENSG00000081277	PKP1
13	11	5	63	67	23	ENSG00000179314	WSCD1
426	104	176	16	16	31	ENSG00000112936	C7
142	20	20	8	13	3	ENSG00000167077	MEI1
9	8	4	17	135	146	ENSG00000205670	SMIM11A
30	18	11	97	136	52	ENSG00000154146	NRGN
1398	468	803	94	43	127	ENSG00000130203	APOE
26	25	18	147	73	63	ENSG00000085276	MECOM
29	7	33	0	3	0	ENSG00000123689	G0S2
8	9	22	0	0	0	ENSG00000131738	KRT33B
71	73	99	20	8	7	ENSG00000171658	NMRAL2P
42	21	29	353	48	93	ENSG00000248290	TNXA
1	1	2	36	15	12	ENSG00000128052	KDR
56	44	35	17	8	7	ENSG00000188064	WNT7B
133	104	105	5	2	2	ENSG00000139269	INHBE
