gene_id	gene	log2FoldChange	padj	stat
ENSG00000127720	METTL25	-0.1022	0.8828	None
ENSG00000051596	THOC3	-0.1686	0.4386	None
ENSG00000135541	AHI1	0.7519	0.0062	None
ENSG00000143376	SNX27	-0.1341	0.5564	None
ENSG00000172172	MRPL13	-0.3182	0.0769	None
ENSG00000132604	TERF2	0.0045	0.9891	None
ENSG00000131724	IL13RA1	-0.1029	0.6715	None
ENSG00000213417	KRTAP2-4	5.649	0.0038	up
ENSG00000128595	CALU	0.4493	0.0022	None
ENSG00000136531	SCN2A	0.3661	0.8713	None
ENSG00000175220	ARHGAP1	-0.241	0.1152	None
ENSG00000168283	BMI1	0.5616	0.0314	None
ENSG00000034510	TMSB10	-0.1877	0.4532	None
ENSG00000231351	AC111200.2	-1.3893	0.0401	None
ENSG00000258472	AC005726.1	-0.6459	0.3348	None
ENSG00000174684	B4GAT1	-0.67490000000000006	6e-4	None
ENSG00000131652	THOC6	-1.6283	0	None
ENSG00000107185	RGP1	-0.2811	0.1153	None
ENSG00000256967	AC018653.3	-0.8745	0.5198	None
ENSG00000248449	PCDHGB8P	0.5263	0.8148	None
ENSG00000119314	PTBP3	0.1837	0.5168	None
ENSG00000232952	AL512844.1	0.8702	0.4245	None
ENSG00000196652	ZKSCAN5	0.1267	0.6528	None
ENSG00000100568	VTI1B	0.5704	2e-4	None
ENSG00000108468	CBX1	0.0554	0.8244	None
ENSG00000130349	C6orf203	0.7913	0.0011	None
ENSG00000113163	COL4A3BP	-8e-4	0.9982	None
ENSG00000232977	LINC00327	0.7979	0.3888	None
ENSG00000155760	FZD7	-0.4383	0.2547	None
ENSG00000125266	EFNB2	0.9087	0.2282	None
ENSG00000227666	CYCSP24	-0.3028	0.9148	None
ENSG00000107404	DVL1	0.3367	0.0681	None
ENSG00000232415	ELN-AS1	-1.3426	0.4587	None
ENSG00000105829	BET1	-0.004	0.9922	None
ENSG00000160111	CPAMD8	-2.2324	0.0927	None
ENSG00000165985	C1QL3	0.7857	0.7211	None
ENSG00000285331	AC010999.3	-0.3537	0.6895	None
ENSG00000169026	SLC49A3	1.0548	2e-4	None
ENSG00000196220	SRGAP3	-0.3523	0.3049	None
ENSG00000232811	AL360270.1	0.8869	0.623	None
ENSG00000131238	PPT1	-0.2134	0.2839	None
ENSG00000088451	TGDS	0.646	0.0303	None
ENSG00000279631	AL158211.5	1.4839	0.2424	None
ENSG00000099330	OCEL1	-1.321	0	None
ENSG00000155792	DEPTOR	-0.8432	0.3333	None
ENSG00000218890	NUFIP1P	0.9969	0.647	None
ENSG00000101146	RAE1	-0.0288	0.9288	None
ENSG00000105053	VRK3	-0.1801	0.4234	None
ENSG00000121671	CRY2	0.0822	0.7899	None
ENSG00000100577	GSTZ1	-0.0574	0.893	None
ENSG00000213963	AC019080.1	-0.3365	0.6982	None
ENSG00000078114	NEBL	0.4855	0.6044	None
ENSG00000181852	RNF41	0.0678	0.7813	None
ENSG00000167553	TUBA1C	0.7686	0	None
ENSG00000082258	CCNT2	0.7037	0.0032	None
ENSG00000116062	MSH6	0.0345	0.9091	None
ENSG00000186577	SMIM29	-0.6182	0.0062	None
ENSG00000197943	PLCG2	0.4721	0.8488	None
ENSG00000154222	CC2D1B	-0.2714	0.1688	None
ENSG00000047315	POLR2B	0.24	0.2139	None
ENSG00000186281	GPAT2	-0.4872	0.0894	None
ENSG00000215866	LINC01356	0.863	0.6264	None
ENSG00000115159	GPD2	0.3961	0.0654	None
ENSG00000162636	FAM102B	-0.9138	1e-4	None
ENSG00000044115	CTNNA1	-0.0204	0.9306	None
ENSG00000212694	LINC01089	-1.9845	0.0023	None
