AD_T10_T12_1	AD_T10_T12_2	AD_T10_T12_3	AD_T10_T12_4	AD_T10_T12_5	AD_T10_T12_6	AD_T8_1	AD_T8_2	AD_T8_3	gene_id	gene
36	59	62	41	53	37	10	11	5	ENSG00000213417	KRTAP2-4
42	72	87	32	36	35	168	844	679	ENSG00000204291	COL15A1
8	4	4	4	7	2	22	25	14	ENSG00000234648	AL162151.2
369	99	115	772	286	191	103	16	25	ENSG00000115919	KYNU
11	1	1	11	1	0	22	23	49	ENSG00000106483	SFRP4
307	194	200	290	198	231	112	23	38	ENSG00000100739	BDKRB1
20	5	4	11	0	26	44	60	70	ENSG00000143196	DPT
112	106	71	40	36	33	253	433	339	ENSG00000106976	DNM1
405	309	509	577	514	559	86	99	171	ENSG00000008517	IL32
4	31	42	7	6	18	19	78	138	ENSG00000154856	APCDD1
16	5	15	19	14	13	3	5	1	ENSG00000275557	AC242842.1
11	3	9	10	4	5	5	71	37	ENSG00000049540	ELN
10	15	10	35	46	37	0	2	4	ENSG00000198028	ZNF560
11	17	18	42	18	34	7	6	2	ENSG00000060140	STYK1
16	9	35	16	3	6	2	3	1	ENSG00000278817	AC007325.4
102	81	65	68	41	37	246	398	177	ENSG00000180875	GREM2
62	10	52	174	56	879	20	0	10	ENSG00000115457	IGFBP2
16	19	5	30	9	7	3	3	2	ENSG00000224945	AL353150.1
23	12	11	92	9	21	1	0	0	ENSG00000211895	IGHA1
3	28	2	21	63	21	1	6	3	ENSG00000197977	ELOVL2
7	6	17	18	21	20	3	3	3	ENSG00000234779	BNC2-AS1
254	195	235	296	290	213	59	21	42	ENSG00000152463	OLAH
9	30	24	13	19	17	10	106	120	ENSG00000144152	FBLN7
11	18	16	24	68	12	0	8	7	ENSG00000162496	DHRS3
29	39	39	66	66	46	5	7	11	ENSG00000127585	FBXL16
26	23	25	12	11	12	96	81	106	ENSG00000162981	FAM84A
42	65	82	45	110	118	23	10	9	ENSG00000130751	NPAS1
3	6	7	2	1	3	20	27	31	ENSG00000123360	PDE1B
419	215	430	362	130	228	78	43	56	ENSG00000090339	ICAM1
37	37	14	27	13	6	119	157	111	ENSG00000206190	ATP10A
27	45	10	45	58	5	5	6	0	ENSG00000118785	SPP1
57	13	37	85	19	26	14	4	5	ENSG00000113504	SLC12A7
22	23	12	33	18	9	7	1	4	ENSG00000268812	AC004264.1
5	8	5	7	4	5	28	9	40	ENSG00000137809	ITGA11
30	72	56	95	140	30	16	23	4	ENSG00000235385	LINC02154
75	60	96	27	25	42	109	613	419	ENSG00000129009	ISLR
