AD_T12_1	AD_T12_2	AD_T12_3	AD_T5_1	AD_T5_2	AD_T5_3	gene_id	gene
41	53	37	0	0	0	ENSG00000213417	KRTAP2-4
2	3	0	15	15	10	ENSG00000160111	CPAMD8
0	2	0	42	69	27	ENSG00000010319	SEMA3G
185	41	64	4	24	5	ENSG00000041353	RAB27B
32	36	35	452	1098	588	ENSG00000204291	COL15A1
9	11	9	39	40	60	ENSG00000152078	TMEM56
42	8	36	161	154	174	ENSG00000152049	KCNE4
39	22	5	4	0	4	ENSG00000232679	LINC01705
41	37	32	7	8	6	ENSG00000233559	LINC00513
35399	26201	12822	9216	3474	4867	ENSG00000196611	MMP1
149	218	189	20	78	44	ENSG00000187546	AGMO
80	66	78	29	16	14	ENSG00000182272	B4GALNT4
674	938	874	75	172	68	ENSG00000108691	CCL2
1	3	1	9	15	18	ENSG00000106560	GIMAP2
277	322	482	17	129	121	ENSG00000144583	MARCH4
15005	9693	15720	55223	53634	62841	ENSG00000169710	FASN
22	22	19	133	118	134	ENSG00000205221	VIT
4	6	28	31	93	58	ENSG00000112619	PRPH2
0	1	0	13	13	2	ENSG00000226321	CROCC2
1	7	4	18	27	20	ENSG00000247121	AC009126.1
9	16	8	124	106	56	ENSG00000162944	RFTN2
19	28	23	4	12	2	ENSG00000281468	AC006504.8
21	16	5	85	83	117	ENSG00000175567	UCP2
2	13	14	358	271	655	ENSG00000112655	PTK7
150	72	80	25	5	17	ENSG00000091129	NRCAM
22	13	9	1	2	0	ENSG00000251248	AC139720.2
23	45	26	7	12	3	ENSG00000244459	AC147067.1
22	26	32	1	0	0	ENSG00000250038	AC109588.1
49	20	15	15	1	3	ENSG00000149968	MMP3
772	286	191	47	5	15	ENSG00000115919	KYNU
29	18	31	137	130	90	ENSG00000165312	OTUD1
189	108	71	1237	664	680	ENSG00000182636	NDN
9	4	1	38	12	31	ENSG00000176194	CIDEA
10	37	12	105	83	132	ENSG00000119630	PGF
16	6	14	63	57	59	ENSG00000186205	MARC1
1033	471	1178	136	179	151	ENSG00000169862	CTNND2
20	8	14	102	77	58	ENSG00000081181	ARG2
1222	1387	1153	283	380	236	ENSG00000128606	LRRC17
60	29	45	279	213	182	ENSG00000102935	ZNF423
90	99	85	369	427	488	ENSG00000090238	YPEL3
89	66	76	18	15	16	ENSG00000239887	C1orf226
710	1017	1782	149	370	169	ENSG00000149591	TAGLN
2	1	0	12	17	6	ENSG00000260400	AL513534.1
448	166	180	74	53	65	ENSG00000137959	IFI44L
425	338	419	36	43	59	ENSG00000002745	WNT16
0	0	0	28	15	26	ENSG00000182168	UNC5C
290	198	231	33	39	41	ENSG00000100739	BDKRB1
0	0	0	8	16	8	ENSG00000104081	BMF
12	3	0	38	40	57	ENSG00000158813	EDA
