AD_T3_1	AD_T3_2	AD_T3_3	AD_T5_1	AD_T5_2	AD_T5_3	gene_id	gene
1	1	1	5	14	14	ENSG00000256967	AC018653.3
0	1	0	15	15	10	ENSG00000160111	CPAMD8
0	0	3	4	24	5	ENSG00000041353	RAB27B
1	8	15	36	30	56	ENSG00000212864	RNF208
0	2	0	3	26	10	ENSG00000164035	EMCN
20	21	42	96	147	128	ENSG00000115266	APC2
18	33	60	161	154	174	ENSG00000152049	KCNE4
11	3	19	48	58	48	ENSG00000203722	RAET1G
3	5	4	17	22	12	ENSG00000228451	SDAD1P1
1409	346	1207	9216	3474	4867	ENSG00000196611	MMP1
89	15	7	17	2	5	ENSG00000158220	ESYT3
11	6	1	53	24	23	ENSG00000130475	FCHO1
15	3	10	0	0	0	ENSG00000147234	FRMPD3
0	0	0	13	5	0	ENSG00000172460	PRSS30P
12227	11737	9529	55223	53634	62841	ENSG00000169710	FASN
8	20	6	31	93	58	ENSG00000112619	PRPH2
0	0	0	13	13	2	ENSG00000226321	CROCC2
2	7	4	80	70	65	ENSG00000165272	AQP3
69	87	41	10	10	2	ENSG00000106809	OGN
2	8	8	85	83	117	ENSG00000175567	UCP2
68	57	91	25	5	17	ENSG00000091129	NRCAM
1	2	4	7	3	35	ENSG00000144868	TMEM108
15	8	5	1	1	0	ENSG00000171004	HS6ST2
0	0	0	10	3	6	ENSG00000233392	AC104809.2
823	1130	967	5001	5769	5391	ENSG00000123933	MXD4
0	2	6	11	16	19	ENSG00000265666	RARA-AS1
0	1	0	9	13	6	ENSG00000164188	RANBP3L
18	9	26	1	0	0	ENSG00000250038	AC109588.1
303	45	280	15	1	3	ENSG00000149968	MMP3
6	16	23	54	60	70	ENSG00000267317	AC027307.2
24	40	37	146	144	150	ENSG00000107551	RASSF4
5	2	1	17	24	23	ENSG00000223901	AP001469.1
11	12	7	37	53	48	ENSG00000253731	PCDHGA6
5	1	2	47	5	15	ENSG00000115919	KYNU
0	0	1	38	12	31	ENSG00000176194	CIDEA
0	1	0	16	13	6	ENSG00000275532	AC006449.2
6	3	3	33	18	37	ENSG00000183549	ACSM5
2512	1580	2209	421	266	364	ENSG00000134363	FST
0	0	0	13	0	5	ENSG00000140297	GCNT3
5	6	3	27	10	24	ENSG00000102032	RENBP
40	45	30	279	213	182	ENSG00000102935	ZNF423
27	34	50	369	427	488	ENSG00000090238	YPEL3
1046	4131	1908	149	370	169	ENSG00000149591	TAGLN
0	0	0	5	5	6	ENSG00000184588	PDE4B
14	7	3	0	0	0	ENSG00000156395	SORCS3
24	22	11	73	82	92	ENSG00000143434	SEMA6C
38	24	34	217	165	177	ENSG00000137198	GMPR
12	15	9	108	57	50	ENSG00000224383	PRR29
100	124	205	18	20	55	ENSG00000105088	OLFM2
6	10	8	25	39	87	ENSG00000161681	SHANK1
9	6	5	33	39	41	ENSG00000100739	BDKRB1
0	0	0	8	16	8	ENSG00000104081	BMF
65	39	41	217	256	212	ENSG00000162426	SLC45A1
5	1	2	39	24	8	ENSG00000227744	LINC01940
290	217	218	1416	1181	944	ENSG00000150593	PDCD4
12	8	13	2	1	0	ENSG00000250129	AC116424.1
5	1	2	25	21	30	ENSG00000166816	LDHD
308	344	340	1723	1824	1630	ENSG00000025434	NR1H3
290	290	154	42	69	27	ENSG00000125730	C3
94	74	60	36	6	9	ENSG00000143196	DPT
8	1	6	30	13	31	ENSG00000223485	LINC01615
7	9	0	58	57	28	ENSG00000156804	FBXO32
783	1611	468	187	407	73	ENSG00000178343	SHISA3
1	0	0	8	7	8	ENSG00000176933	TOB2P1
9	20	14	61	102	78	ENSG00000196605	ZNF846
9	9	8	50	54	44	ENSG00000133216	EPHB2
0	0	0	10	11	2	ENSG00000173930	SLCO4C1
0	0	0	9	3	5	ENSG00000274600	RIMBP3B
3	6	1	39	46	56	ENSG00000137265	IRF4
50	38	23	404	359	284	ENSG00000164938	TP53INP1
7	6	8	49	31	44	ENSG00000186862	PDZD7
4	1	6	15	25	26	ENSG00000196358	NTNG2
3	1	0	9	11	14	ENSG00000205795	CYS1
23	12	19	1	2	3	ENSG00000188582	PAQR9
7	6	3	77	102	80	ENSG00000166046	TCP11L2
0	0	0	8	3	7	ENSG00000172794	RAB37
5	30	3	108	233	80	ENSG00000241644	INMT
7	16	11	34	34	99	ENSG00000261625	AP003071.4
10	2	13	45	33	35	ENSG00000183196	CHST6
21	19	15	3	6	2	ENSG00000241634	AC069499.1
18	47	20	102	181	153	ENSG00000139182	CLSTN3
70	200	80	11	59	17	ENSG00000189056	RELN
3	4	2	37	56	29	ENSG00000197405	C5AR1
3	1	1	18	16	9	ENSG00000229980	TOB1-AS1
75	38	19	377	129	78	ENSG00000104213	PDGFRL
921	293	656	111	31	68	ENSG00000139304	PTPRQ
33	57	204	0	8	6	ENSG00000164283	ESM1
33	40	38	270	202	286	ENSG00000092068	SLC7A8
1	0	0	7	9	4	ENSG00000258559	AC005519.1
31	23	15	630	612	412	ENSG00000169174	PCSK9
7	0	2	70	36	52	ENSG00000142611	PRDM16
0	0	0	16	10	24	ENSG00000130518	IQCN
1	4	5	14	26	16	ENSG00000196730	DAPK1
3	2	0	42	38	22	ENSG00000198719	DLL1
2	1	2	16	4	24	ENSG00000235027	AC068580.3
2	6	0	22	17	11	ENSG00000118094	TREH
0	2	3	10	17	11	ENSG00000258938	AL162311.3
408	585	377	2381	2865	2541	ENSG00000204634	TBC1D8
2	4	1	52	61	55	ENSG00000204314	PRRT1
12	19	4	80	124	53	ENSG00000167703	SLC43A2
15	1	5	28	80	54	ENSG00000151651	ADAM8
17	14	19	90	99	99	ENSG00000159761	C16orf86
7	3	3	13	21	22	ENSG00000116675	DNAJC6
375	326	619	80	74	123	ENSG00000073861	TBX21
0	3	1	6	25	7	ENSG00000162687	KCNT2
202	229	157	768	843	837	ENSG00000011021	CLCN6
6	14	23	1	3	0	ENSG00000274879	AC009804.1
0	1	0	9	5	8	ENSG00000172382	PRSS27
221	276	162	1068	1194	841	ENSG00000172164	SNTB1
1	0	0	16	9	1	ENSG00000198910	L1CAM
257	506	127	1785	1926	876	ENSG00000131386	GALNT15
