AD_T10_1	AD_T10_2	AD_T10_3	AD_T8_1	AD_T8_2	AD_T8_3	gene_id	gene
36	59	62	10	11	5	ENSG00000213417	KRTAP2-4
42	72	87	168	844	679	ENSG00000204291	COL15A1
64	61	33	18	7	8	ENSG00000167861	HID1
20	5	4	44	60	70	ENSG00000143196	DPT
106	11	12	7	6	4	ENSG00000268350	FAM156A
11	3	9	5	71	37	ENSG00000049540	ELN
142	20	20	25	4	11	ENSG00000167077	MEI1
81	123	103	527	370	334	ENSG00000138778	CENPE
254	195	235	59	21	42	ENSG00000152463	OLAH
4	9	4	47	41	36	ENSG00000054654	SYNE2
29	39	39	5	7	11	ENSG00000127585	FBXL16
42	65	82	23	10	9	ENSG00000130751	NPAS1
419	215	430	78	43	56	ENSG00000090339	ICAM1
37	37	14	119	157	111	ENSG00000206190	ATP10A
57	13	37	14	4	5	ENSG00000113504	SLC12A7
133	104	105	32	23	13	ENSG00000139269	INHBE
75	60	96	109	613	419	ENSG00000129009	ISLR
