gene_id	gene	log2FoldChange	padj	stat
ENSG00000127720	METTL25	0.3119	0.6482	None
ENSG00000051596	THOC3	-0.6548	0.0507	None
ENSG00000135541	AHI1	0.0699	0.8863	None
ENSG00000143376	SNX27	0.0312	0.9419	None
ENSG00000256006	AC084117.1	1.6453	0.5568	None
ENSG00000172172	MRPL13	-0.2524	0.5632	None
ENSG00000132604	TERF2	-0.402	0.0692	None
ENSG00000225937	PCA3	1.2088	0.715	None
ENSG00000131724	IL13RA1	1.0061	0	None
ENSG00000213417	KRTAP2-4	6.1009	0	up
ENSG00000128595	CALU	0.6271	2e-4	None
ENSG00000136531	SCN2A	1.6957	0.2542	None
ENSG00000175220	ARHGAP1	0.3152	0.216	None
ENSG00000176115	AQP7P4	-0.241	0.9552	None
ENSG00000168283	BMI1	-0.3914	0.1432	None
ENSG00000034510	TMSB10	1.2125	1e-4	None
ENSG00000231351	AC111200.2	0.5152	0.6607	None
ENSG00000258472	AC005726.1	-0.5943	0.4893	None
ENSG00000174684	B4GAT1	-0.0488	0.9099	None
ENSG00000131652	THOC6	-1.4484	0	None
ENSG00000107185	RGP1	-0.0154	0.9756	None
ENSG00000256967	AC018653.3	2.2727	0.2964	None
ENSG00000248449	PCDHGB8P	1.2973	0.5133	None
ENSG00000119314	PTBP3	-0.8754	0.0013	None
ENSG00000232952	AL512844.1	-0.9414	0.4699	None
ENSG00000196652	ZKSCAN5	-0.0593	0.8757	None
ENSG00000100568	VTI1B	0.4011	0.0871	None
ENSG00000108468	CBX1	-0.6203	0.0017	None
ENSG00000130349	C6orf203	0.2922	0.472	None
ENSG00000113163	COL4A3BP	0.1037	0.7893	None
ENSG00000232977	LINC00327	2.0156	0.0128	up
ENSG00000155760	FZD7	1.2739	0.0029	None
ENSG00000125266	EFNB2	0.3313	0.4723	None
ENSG00000227666	CYCSP24	-1.0836	0.7153	None
ENSG00000107404	DVL1	-0.3292	0.1214	None
ENSG00000232415	ELN-AS1	3.0436	0.0985	None
ENSG00000105829	BET1	0.63	0.0348	None
ENSG00000165985	C1QL3	0.5437	0.88	None
ENSG00000285331	AC010999.3	-0.2709	0.7934	None
ENSG00000169026	SLC49A3	-0.362	0.33	None
ENSG00000196220	SRGAP3	0.8745	0.0182	None
ENSG00000232811	AL360270.1	1.4993	0.4525	None
ENSG00000131238	PPT1	-0.3614	0.0895	None
ENSG00000088451	TGDS	-0.0928	0.8447	None
ENSG00000240057	AC078785.1	0.0924	0.9756	None
ENSG00000279631	AL158211.5	-0.0636	0.9814	None
ENSG00000099330	OCEL1	0.8506	0.0617	None
ENSG00000155792	DEPTOR	2.0825	0.0014	up
ENSG00000218890	NUFIP1P	-0.022	0.9929	None
ENSG00000101146	RAE1	-0.6244	0.0045	None
ENSG00000105053	VRK3	0.2314	0.4145	None
ENSG00000121671	CRY2	-0.0102	0.9843	None
ENSG00000100577	GSTZ1	0.8498	0.0175	None
ENSG00000213963	AC019080.1	0.3922	0.7448	None
ENSG00000078114	NEBL	-2.0571	0	down
ENSG00000181852	RNF41	0.1935	0.4889	None
ENSG00000167553	TUBA1C	-0.6333	0.0025	None
ENSG00000082258	CCNT2	-0.2651	0.4918	None
ENSG00000116062	MSH6	-0.8061	0	None
ENSG00000263235	AC006111.2	-0.5408	0.8681	None
ENSG00000186577	SMIM29	0.0623	0.9048	None
ENSG00000197943	PLCG2	0.5115	0.8166	None
ENSG00000154222	CC2D1B	0.0583	0.8736	None
ENSG00000047315	POLR2B	-0.1124	0.6964	None
ENSG00000186281	GPAT2	-1.2145	7e-4	None
ENSG00000215866	LINC01356	0.8032	0.7033	None
ENSG00000115159	GPD2	-0.1762	0.5823	None
ENSG00000162636	FAM102B	-0.9377	0.0022	None
ENSG00000044115	CTNNA1	0.4076	0.0533	None
ENSG00000212694	LINC01089	0.371	0.7008	None
ENSG00000088766	CRLS1	-0.0467	0.927	None
ENSG00000143457	GOLPH3L	-0.1559	0.6404	None
ENSG00000132612	VPS4A	0.2368	0.3782	None
ENSG00000163481	RNF25	0.0765	0.8425	None
ENSG00000145868	FBXO38	0.2773	0.3147	None
ENSG00000070669	ASNS	0.7981	0.7074	None
ENSG00000219451	RPL23P8	0.5967	0.6656	None
ENSG00000198899	MT-ATP6	0.2405	0.2751	None
ENSG00000178585	CTNNBIP1	-0.0122	0.9804	None
ENSG00000257773	ST13P3	-0.294	0.878	None
ENSG00000077312	SNRPA	-0.6221	0.0087	None
ENSG00000132275	RRP8	-0.4849	0.0828	None
ENSG00000204160	ZDHHC18	-0.3702	0.1051	None
ENSG00000115310	RTN4	0.4229	0.0195	None
ENSG00000119669	IRF2BPL	0.2735	0.3163	None
ENSG00000186063	AIDA	0.1793	0.4698	None
ENSG00000180376	CCDC66	-0.6156	0.105	None
ENSG00000010319	SEMA3G	-5.3641	1e-4	down
ENSG00000074356	NCBP3	-0.4265	0.0578	None
