AD_T12_1	AD_T12_2	AD_T12_3	AD_T3_1	AD_T3_2	AD_T3_3	gene_id	gene
41	53	37	0	2	0	ENSG00000213417	KRTAP2-4
18	33	38	10	4	9	ENSG00000232977	LINC00327
43	31	33	8	9	9	ENSG00000155792	DEPTOR
37	20	35	82	170	144	ENSG00000078114	NEBL
0	2	0	35	33	18	ENSG00000010319	SEMA3G
185	41	64	0	0	3	ENSG00000041353	RAB27B
32	36	35	589	902	648	ENSG00000204291	COL15A1
7	9	10	0	2	0	ENSG00000164035	EMCN
39	22	5	6	3	3	ENSG00000232679	LINC01705
43	30	28	7	11	7	ENSG00000235609	AF127577.4
28	30	32	4	6	5	ENSG00000266904	LINC00663
35399	26201	12822	1409	346	1207	ENSG00000196611	MMP1
149	218	189	13	37	36	ENSG00000187546	AGMO
92	151	109	23	27	24	ENSG00000226287	TMEM191A
80	66	78	15	4	1	ENSG00000182272	B4GALNT4
14	4	4	89	15	7	ENSG00000158220	ESYT3
674	938	874	68	119	140	ENSG00000108691	CCL2
489	147	356	1953	2460	1284	ENSG00000066279	ASPM
46	54	26	9	9	14	ENSG00000266835	GAPLINC
25	18	51	11	6	1	ENSG00000130475	FCHO1
15	4	3	1	0	0	ENSG00000253557	AC100849.1
6	1	3	69	87	41	ENSG00000106809	OGN
0	0	0	10	7	1	ENSG00000147255	IGSF1
2	13	14	341	260	408	ENSG00000112655	PTK7
4	1	3	18	26	32	ENSG00000144476	ACKR3
7	10	5	0	0	0	ENSG00000272196	HIST2H2AA4
163	178	184	772	989	933	ENSG00000135451	TROAP
93	103	118	23	27	26	ENSG00000050344	NFE2L3
0	1	0	15	8	5	ENSG00000171004	HS6ST2
123	144	150	753	1024	790	ENSG00000117650	NEK2
1	1	0	6	18	15	ENSG00000154678	PDE1C
23	45	26	3	6	0	ENSG00000244459	AC147067.1
13	6	5	46	51	56	ENSG00000231007	CDC20P1
49	20	15	303	45	280	ENSG00000149968	MMP3
339	384	365	1737	2008	1962	ENSG00000157456	CCNB2
87	88	57	6	16	23	ENSG00000267317	AC027307.2
772	286	191	5	1	2	ENSG00000115919	KYNU
1034	1272	1407	270	466	191	ENSG00000182809	CRIP2
189	108	71	1345	789	984	ENSG00000182636	NDN
32	19	7	6	3	3	ENSG00000183549	ACSM5
192	248	210	1239	1518	1543	ENSG00000123080	CDKN2C
62	21	33	558	284	215	ENSG00000006016	CRLF1
16	11	1	0	0	0	ENSG00000140297	GCNT3
234	328	149	42	56	82	ENSG00000079257	LXN
1222	1387	1153	84	150	124	ENSG00000128606	LRRC17
14	3	3	0	0	0	ENSG00000167476	JSRP1
8	11	3	0	0	0	ENSG00000184588	PDE4B
123	159	87	22	34	39	ENSG00000226742	HSBP1L1
6	2	9	57	48	16	ENSG00000188783	PRELP
20	45	23	6	5	12	ENSG00000167968	DNASE1L2
151	64	50	12	15	9	ENSG00000224383	PRR29
39	7	1	2	0	0	ENSG00000203837	PNLIPRP3
39	31	34	139	157	174	ENSG00000211445	GPX3
27	48	40	6	10	8	ENSG00000161681	SHANK1
425	338	419	15	15	25	ENSG00000002745	WNT16
0	0	0	6	22	4	ENSG00000182168	UNC5C
469	376	462	2159	2334	2028	ENSG00000090889	KIF4A
589	210	355	2046	2824	1343	ENSG00000117724	CENPF
176	97	118	20	5	26	ENSG00000173641	HSPB7
290	198	231	9	6	5	ENSG00000100739	BDKRB1
51	19	37	5	1	2	ENSG00000227744	LINC01940
12	3	0	32	39	34	ENSG00000158813	EDA
100	113	113	13	5	25	ENSG00000174939	ASPHD1
345	291	358	1551	2221	1920	ENSG00000101447	FAM83D
1470	1428	1232	189	252	181	ENSG00000107281	NPDC1
42	24	44	8	1	6	ENSG00000223485	LINC01615
321	278	252	1239	1559	1281	ENSG00000080986	NDC80
66	72	56	9	20	14	ENSG00000196605	ZNF846
6	1	9	20	32	17	ENSG00000267201	LINC01775
22	14	44	188	213	182	ENSG00000183801	OLFML1
433	229	343	1602	1758	1541	ENSG00000024526	DEPDC1
12	10	19	1	2	5	ENSG00000105427	CNFN
105	187	178	2	0	2	ENSG00000233308	OSTN-AS1
28	25	30	7	6	8	ENSG00000186862	PDZD7
31	25	43	0	3	6	ENSG00000267669	AC098847.1
16	27	16	3	1	0	ENSG00000205795	CYS1
276	59	108	568	834	520	ENSG00000118193	KIF14
170	126	96	13	13	17	ENSG00000163536	SERPINI1
14	4	3	0	0	0	ENSG00000245322	AC097460.1
3	4	7	26	20	27	ENSG00000213626	LBH
0	0	1	2	4	18	ENSG00000267414	AC120049.1
19	17	20	4	3	5	ENSG00000230084	AC006059.1
31	8	15	141	84	81	ENSG00000164742	ADCY1
11	10	12	0	1	2	ENSG00000184060	ADAP2
449	457	482	1784	2023	2278	ENSG00000167513	CDT1
344	100	103	75	38	19	ENSG00000104213	PDGFRL
44	20	25	123	129	125	ENSG00000138587	MNS1
1466	1898	1593	7236	8551	8784	ENSG00000134057	CCNB1
0	0	0	2	5	15	ENSG00000267383	AC011447.3
156	124	148	17	12	11	ENSG00000172399	MYOZ2
23	10	16	5	2	2	ENSG00000165474	GJB2
670	497	654	2364	3107	3178	ENSG00000237649	KIFC1
7	16	45	0	2	1	ENSG00000117600	PLPPR4
12	5	10	42	31	57	ENSG00000169297	NR0B1
36	22	12	1	2	2	ENSG00000115339	GALNT3
26	11	26	7	0	2	ENSG00000142611	PRDM16
45	44	57	16	9	11	ENSG00000177335	C8orf31
30	5	24	2	2	0	ENSG00000133800	LYVE1
2	14	11	78	46	124	ENSG00000100842	EFS
51	18	36	13	5	2	ENSG00000134508	CABLES1
11	9	14	0	0	0	ENSG00000130518	IQCN
45	50	34	10	4	14	ENSG00000072954	TMEM38A
119	32	110	28	27	10	ENSG00000268895	A1BG-AS1
42	41	35	1	4	5	ENSG00000196730	DAPK1
48	66	40	9	10	19	ENSG00000198074	AKR1B10
61	78	63	274	308	310	ENSG00000213347	MXD3
231	69	157	12	19	4	ENSG00000167703	SLC43A2
40	36	33	576	390	364	ENSG00000106976	DNM1
50	27	38	7	3	3	ENSG00000116675	DNAJC6
46	33	31	161	201	155	ENSG00000160447	PKN3
304	17	32	1	0	0	ENSG00000198910	L1CAM
28	24	18	6	8	4	ENSG00000198208	RPS6KL1
86	41	84	0	13	5	ENSG00000067715	SYT1
640	562	816	130	159	129	ENSG00000100342	APOL1
11	19	16	1	3	3	ENSG00000261888	AC144831.1
24	31	15	8	2	7	ENSG00000170689	HOXB9
36	38	30	7	8	9	ENSG00000142621	FHAD1
577	514	559	15	31	34	ENSG00000008517	IL32
252	491	95	57	48	37	ENSG00000170323	FABP4
123	146	55	6	3	6	ENSG00000227517	LINC01483
1438	1494	1470	306	248	372	ENSG00000141574	SECTM1
10	13	14	0	1	0	ENSG00000225138	SLC9A3-AS1
0	0	0	2	13	3	ENSG00000215630	GUSBP9
3	4	4	16	26	33	ENSG00000131471	AOC3
3268	3927	3163	662	509	712	ENSG00000103485	QPRT
102	28	48	10	4	7	ENSG00000081277	PKP1
64	113	43	347	137	556	ENSG00000162595	DIRAS3
365	357	359	19	64	36	ENSG00000160951	PTGER1
27	51	64	3	5	2	ENSG00000251144	AC113346.1
44	6	38	0	0	0	ENSG00000215853	RPTN
15	10	23	0	7	1	ENSG00000157404	KIT
727	587	395	145	67	95	ENSG00000243742	RPLP0P2
35	9	69	0	8	1	ENSG00000182261	NLRP10
55	35	47	12	12	11	ENSG00000124635	HIST1H2BJ
18	2	15	0	2	0	ENSG00000046889	PREX2
47	41	86	330	232	296	ENSG00000183876	ARSI
192	143	175	664	908	721	ENSG00000112742	TTK
128	143	130	39	23	18	ENSG00000099822	HCN2
711	441	523	2499	2808	2254	ENSG00000109805	NCAPG
17	36	34	4	11	8	ENSG00000253837	AC090197.1
187	411	267	52	54	57	ENSG00000133321	RARRES3
3	7	2	24	14	39	ENSG00000168421	RHOH
17	16	23	77	103	92	ENSG00000121316	PLBD1
5	24	22	405	694	732	ENSG00000211772	TRBC2
26	18	15	5	1	7	ENSG00000185499	MUC1
21	3	19	3	0	0	ENSG00000022556	NLRP2
228	108	91	8	12	11	ENSG00000158406	HIST1H4H
432	393	250	62	51	47	ENSG00000187837	HIST1H1C
13	4	11	0	0	1	ENSG00000185818	NAT8L
26	26	14	2	4	5	ENSG00000005513	SOX8
801	641	1476	63	96	90	ENSG00000138131	LOXL4
281	381	268	59	57	55	ENSG00000172889	EGFL7
594	673	665	123	106	136	ENSG00000013563	DNASE1L1
16	9	10	47	74	41	ENSG00000138336	TET1
67	97	54	15	15	13	ENSG00000149809	TM7SF2
16	6	14	0	4	0	ENSG00000184185	KCNJ12
13	38	9	1	0	0	ENSG00000103175	WFDC1
52	31	41	3	6	0	ENSG00000105639	JAK3
14	34	20	0	0	1	ENSG00000226644	AL121899.1
641	521	666	3366	4299	3843	ENSG00000145386	CCNA2
1819	775	1319	511	187	185	ENSG00000171680	PLEKHG5
2	10	8	0	0	0	ENSG00000227533	SLC2A1-AS1
140	75	52	19	12	14	ENSG00000091490	SEL1L3
112	150	114	599	742	782	ENSG00000152253	SPC25
59	64	28	11	3	9	ENSG00000112183	RBM24
314	170	232	62	56	41	ENSG00000137266	SLC22A23
13	15	15	4	4	1	ENSG00000198756	COLGALT2
7	3	24	65	106	67	ENSG00000099284	H2AFY2
54	63	69	254	248	349	ENSG00000186603	HPDL
11	27	33	4	0	2	ENSG00000170369	CST2
1	0	0	4	6	13	ENSG00000196666	FAM180B
436	337	424	2117	2337	1828	ENSG00000137804	NUSAP1
39	34	34	7	7	9	ENSG00000138311	ZNF365
7	6	18	46	120	53	ENSG00000154856	APCDD1
477	314	330	62	45	54	ENSG00000188766	SPRED3
4	3	2	20	25	18	ENSG00000196081	ZNF724
106	93	88	396	410	401	ENSG00000158402	CDC25C
425	670	543	3044	3885	4816	ENSG00000197766	CFD
22	17	15	3	4	4	ENSG00000128482	RNF112
11	22	25	3	3	2	ENSG00000181409	AATK
71	130	62	19	16	21	ENSG00000251257	AC010457.1
23	28	40	209	189	147	ENSG00000157470	FAM81A
142	115	76	22	12	35	ENSG00000138083	SIX3
122	222	141	27	28	42	ENSG00000128965	CHAC1
16	2	12	109	74	59	ENSG00000152217	SETBP1
14	7	1	542	19	59	ENSG00000182836	PLCXD3
395	350	314	1778	2130	1668	ENSG00000126787	DLGAP5
104	77	94	2	5	8	ENSG00000116833	NR5A2
12	14	16	45	45	89	ENSG00000121361	KCNJ8
27	35	14	7	2	3	ENSG00000196436	NPIPB15
1344	852	923	187	173	199	ENSG00000197903	HIST1H2BK
288	401	631	1626	1739	2483	ENSG00000100979	PLTP
45	18	7	1	2	3	ENSG00000137491	SLCO2B1
432	176	402	1493	2040	1355	ENSG00000183856	IQGAP3
19	12	10	3	1	4	ENSG00000186642	PDE2A
50	22	13	12	2	2	ENSG00000163092	XIRP2
906	660	4125	153	577	193	ENSG00000137801	THBS1
256	135	75	17	10	33	ENSG00000115290	GRB14
191	129	137	672	692	796	ENSG00000100162	CENPM
201	46	76	22	28	7	ENSG00000232855	AF165147.1
272	84	153	73	10	24	ENSG00000215788	TNFRSF25
0	0	0	14	9	12	ENSG00000174348	PODN
486	510	484	33	134	134	ENSG00000113739	STC2
1	0	1	15	20	11	ENSG00000135472	FAIM2
184	76	128	15	16	18	ENSG00000102996	MMP15
89	25	37	10	9	5	ENSG00000112186	CAP2
12	6	3	0	1	0	ENSG00000279311	AC092999.1
27	24	24	10	3	6	ENSG00000134716	CYP2J2
57	26	27	7	6	12	ENSG00000225968	ELFN1
15	40	20	0	4	7	ENSG00000171798	KNDC1
0	0	0	4	2	13	ENSG00000196172	ZNF681
3	1	4	29	16	9	ENSG00000113805	CNTN3
9	20	22	0	1	0	ENSG00000258788	CKS1BP1
6	10	17	1	1	1	ENSG00000223396	RPS10P7
21	11	19	113	69	94	ENSG00000161267	BDH1
589	374	501	3196	3606	3123	ENSG00000112984	KIF20A
16	2	2	59	3	79	ENSG00000103569	AQP9
567	785	1070	54	280	118	ENSG00000107738	VSIR
3	0	1	21	9	8	ENSG00000178498	DTX3
520	446	560	2705	3001	2632	ENSG00000076382	SPAG5
33	34	60	8	9	5	ENSG00000100100	PIK3IP1
6	4	1	27	12	22	ENSG00000152936	LMNTD1
136	181	57	27	8	44	ENSG00000110628	SLC22A18
181	355	215	44	66	51	ENSG00000132563	REEP2
3	4	3	26	12	10	ENSG00000133937	GSC
47	62	38	8	4	1	ENSG00000187479	C11orf96
10	10	13	0	0	0	ENSG00000153294	ADGRF4
18	2	7	1	0	0	ENSG00000179593	ALOX15B
20	61	35	4	15	10	ENSG00000233532	LINC00460
122	31	60	16	25	5	ENSG00000163491	NEK10
1	1	3	9	20	9	ENSG00000116703	PDC
21	22	27	0	3	1	ENSG00000088340	FER1L4
19	20	16	2	0	0	ENSG00000147465	STAR
552	285	428	1712	2248	1595	ENSG00000138160	KIF11
255	274	316	58	81	47	ENSG00000135736	CCDC102A
88	45	50	0	1	0	ENSG00000072952	MRVI1
20	40	35	7	0	0	ENSG00000141854	MISP3
10	2	45	0	0	0	ENSG00000157542	KCNJ6
1100	885	1122	165	104	130	ENSG00000127863	TNFRSF19
175	193	191	719	882	867	ENSG00000154839	SKA1
27	6	0	1	0	0	ENSG00000235782	AL031429.1
179	85	119	521	672	493	ENSG00000163808	KIF15
431	461	526	2494	2902	3116	ENSG00000142945	KIF2C
1266	425	691	154	170	177	ENSG00000136231	IGF2BP3
26	25	25	3	4	7	ENSG00000165507	DEPP1
205	442	288	40	81	51	ENSG00000173267	SNCG
7	9	2	0	0	0	ENSG00000213023	SYT3
46	30	55	0	0	1	ENSG00000259721	AC090877.2
814	430	848	36	212	131	ENSG00000164161	HHIP
1495	1499	1536	7227	8497	8215	ENSG00000117399	CDC20
432	291	421	2002	2255	1782	ENSG00000156970	BUB1B
6	7	7	30	48	23	ENSG00000214357	NEURL1B
0	1	0	20	11	5	ENSG00000142149	HUNK
31	33	6	0	0	1	ENSG00000258791	LINC00520
81	73	45	7	2	9	ENSG00000003249	DBNDD1
10	4	5	102	111	196	ENSG00000049540	ELN
2	12	9	24	40	51	ENSG00000234465	PINLYP
10	6	10	0	0	0	ENSG00000147697	GSDMC
21	18	17	1	0	5	ENSG00000110203	FOLR3
21	23	21	5	2	2	ENSG00000260807	AC009041.2
406	133	186	14	10	7	ENSG00000184678	HIST2H2BE
135	184	102	24	9	47	ENSG00000164736	SOX17
16	16	31	609	1126	445	ENSG00000112936	C7
20	12	11	74	47	61	ENSG00000134259	NGF
25	70	41	5	11	20	ENSG00000241494	AL355032.1
1	2	0	37	26	65	ENSG00000131477	RAMP2
35	46	37	4	2	3	ENSG00000198028	ZNF560
6	5	6	0	0	0	ENSG00000095587	TLL2
338	96	210	1349	1705	1006	ENSG00000137812	KNL1
268	218	170	17	8	13	ENSG00000188549	CCDC9B
15	9	18	53	77	53	ENSG00000284946	AC068831.7
9	6	4	0	0	0	ENSG00000176387	HSD11B2
27	18	11	1	5	0	ENSG00000163347	CLDN1
1004	923	612	57	76	239	ENSG00000197632	SERPINB2
50	62	33	15	4	6	ENSG00000229774	AC018866.1
69	41	55	3	4	4	ENSG00000083454	P2RX5
1375	1356	1221	334	300	252	ENSG00000139318	DUSP6
245	122	134	7	6	8	ENSG00000180596	HIST1H2BC
28	13	14	6	0	2	ENSG00000167646	DNAAF3
711	846	677	105	100	176	ENSG00000182667	NTM
2	52	12	3	1	3	ENSG00000149599	DUSP15
12	17	3	0	1	0	ENSG00000123612	ACVR1C
24	31	27	6	1	11	ENSG00000275395	FCGBP
60	54	45	13	2	12	ENSG00000155011	DKK2
61	45	45	10	9	10	ENSG00000121743	GJA3
42	18	34	5	6	4	ENSG00000060140	STYK1
77	30	21	0	4	16	ENSG00000019582	CD74
633	469	687	2895	3443	2765	ENSG00000111206	FOXM1
182	203	131	44	21	29	ENSG00000142583	SLC2A5
320	492	756	32	127	75	ENSG00000113389	NPR3
7	17	14	1	1	4	ENSG00000165695	AK8
14	12	6	0	1	0	ENSG00000230882	AC005077.4
72	69	63	9	3	16	ENSG00000125965	GDF5
103	63	102	24	21	19	ENSG00000174564	IL20RB
12	20	5	0	0	0	ENSG00000168032	ENTPD3
11	2	9	1	0	0	ENSG00000271344	AC018638.6
14	18	12	2	2	1	ENSG00000203780	FANK1
1202	1317	1250	5198	6070	6463	ENSG00000013810	TACC3
546	413	1245	90	274	56	ENSG00000127954	STEAP4
14	25	37	1	0	1	ENSG00000186847	KRT14
134	163	631	2	39	12	ENSG00000168398	BDKRB2
206	63	168	22	42	37	ENSG00000278318	ZNF229
647	112	402	39	41	34	ENSG00000119938	PPP1R3C
57	27	13	6	4	8	ENSG00000103241	FOXF1
15	22	19	5	4	3	ENSG00000231908	IDH1-AS1
21	27	18	2	4	11	ENSG00000221890	NPTXR
1759	538	1306	5642	7203	3400	ENSG00000148773	MKI67
80	36	97	5	7	0	ENSG00000163995	ABLIM2
118	52	52	10	0	13	ENSG00000104237	RP1
1	3	2	16	5	21	ENSG00000151364	KCTD14
53	27	48	172	193	183	ENSG00000136492	BRIP1
5	10	9	13	46	51	ENSG00000263513	FAM72C
187	133	128	39	28	23	ENSG00000249279	LINC02057
29	34	41	2	21	2	ENSG00000248869	LINC02511
0	29	2	0	0	1	ENSG00000165300	SLITRK5
84	167	99	4	5	16	ENSG00000103269	RHBDL1
17	37	20	2	7	1	ENSG00000226835	AC097059.1
1518	2322	2047	149	237	230	ENSG00000079931	MOXD1
1123	915	1231	350	191	227	ENSG00000135424	ITGA7
146	82	87	13	26	31	ENSG00000186088	GSAP
85	32	57	19	14	2	ENSG00000139899	CBLN3
40	89	40	17	5	9	ENSG00000153495	TEX29
199	220	114	49	16	70	ENSG00000130513	GDF15
5941	2523	8934	866	1240	503	ENSG00000074181	NOTCH3
617	454	524	2144	2471	2129	ENSG00000169679	BUB1
35	32	20	5	0	4	ENSG00000179292	TMEM151A
5844	8249	5599	1259	940	1163	ENSG00000166165	CKB
403	402	371	1616	2225	2236	ENSG00000134690	CDCA8
45	34	31	3	0	2	ENSG00000174325	DIRC1
6	15	21	0	0	0	ENSG00000196557	CACNA1H
366	217	315	1612	1819	1628	ENSG00000121152	NCAPH
15	17	16	1	1	1	ENSG00000236045	AL031283.3
0	4	1	25	5	14	ENSG00000255325	AC108136.1
1	1	1	12	8	14	ENSG00000251235	SNRPCP2
20	29	16	6	1	6	ENSG00000269313	MAGIX
35	29	11	8	5	5	ENSG00000165078	CPA6
75	13	20	245	114	359	ENSG00000189143	CLDN4
12	8	1	0	0	0	ENSG00000180730	SHISA2
464	206	181	1725	1121	996	ENSG00000183688	RFLNB
986	613	706	31	49	57	ENSG00000160191	PDE9A
101	179	136	19	16	45	ENSG00000171346	KRT15
30	52	11	5	0	2	ENSG00000251281	AC034223.2
105	52	98	19	6	16	ENSG00000064687	ABCA7
20	36	27	8	6	6	ENSG00000140057	AK7
52	19	20	4	2	2	ENSG00000129667	RHBDF2
22	18	14	4	4	3	ENSG00000172824	CES4A
955	568	775	158	69	151	ENSG00000106484	MEST
112	57	96	15	12	9	ENSG00000116183	PAPPA2
10	24	28	6	5	4	ENSG00000256128	LINC00944
136	36	153	19	11	11	ENSG00000198959	TGM2
7	31	69	1	6	0	ENSG00000198771	RCSD1
2	0	0	10	7	12	ENSG00000155849	ELMO1
9	5	2	0	0	0	ENSG00000217801	AL390719.1
277	268	264	55	48	44	ENSG00000157873	TNFRSF14
356	367	301	74	62	76	ENSG00000169231	THBS3
19	6	19	0	1	0	ENSG00000124731	TREM1
15	54	25	4	1	8	ENSG00000187642	PERM1
7	1	26	1	0	0	ENSG00000180739	S1PR5
12	25	10	1	5	4	ENSG00000102057	KCND1
323	119	210	51	46	32	ENSG00000184156	KCNQ3
4919	4903	5147	1044	1283	1303	ENSG00000100196	KDELR3
48	8	22	2	3	6	ENSG00000106278	PTPRZ1
