AD_T12_1	AD_T12_2	AD_T12_3	AD_T8_1	AD_T8_2	AD_T8_3	gene_id	gene
41	53	37	10	11	5	ENSG00000213417	KRTAP2-4
0	2	0	13	25	38	ENSG00000010319	SEMA3G
185	41	64	15	9	22	ENSG00000041353	RAB27B
32	36	35	168	844	679	ENSG00000204291	COL15A1
80	66	78	16	26	6	ENSG00000182272	B4GALNT4
674	938	874	143	241	217	ENSG00000108691	CCL2
7	3	8	7	10	115	ENSG00000146122	DAAM2
2	13	14	22	174	61	ENSG00000112655	PTK7
15	6	3	22	40	36	ENSG00000279148	AC126474.1
4	1	3	19	30	10	ENSG00000144476	ACKR3
772	286	191	103	16	25	ENSG00000115919	KYNU
62	21	33	158	93	237	ENSG00000006016	CRLF1
11	1	0	22	23	49	ENSG00000106483	SFRP4
6	2	9	25	29	47	ENSG00000188783	PRELP
39	31	34	130	212	156	ENSG00000211445	GPX3
290	198	231	112	23	38	ENSG00000100739	BDKRB1
5471	2173	3780	21499	13323	11543	ENSG00000116690	PRG4
46	195	43	5	9	7	ENSG00000164283	ESM1
40	36	33	253	433	339	ENSG00000106976	DNM1
577	514	559	86	99	171	ENSG00000008517	IL32
5	24	22	21	153	148	ENSG00000211772	TRBC2
7	10	2	24	53	38	ENSG00000142661	MYOM3
7	6	18	19	78	138	ENSG00000154856	APCDD1
16	2	12	26	75	63	ENSG00000152217	SETBP1
14	7	1	140	26	31	ENSG00000182836	PLCXD3
63	67	23	4	2	19	ENSG00000179314	WSCD1
53	36	80	205	254	248	ENSG00000165633	VSTM4
81	73	45	16	15	8	ENSG00000003249	DBNDD1
10	4	5	5	71	37	ENSG00000049540	ELN
16	16	31	52	646	426	ENSG00000112936	C7
35	46	37	0	2	4	ENSG00000198028	ZNF560
42	18	34	7	6	2	ENSG00000060140	STYK1
3178	2520	5346	9867	17051	17984	ENSG00000095303	PTGS1
68	41	37	246	398	177	ENSG00000180875	GREM2
75	13	20	256	651	178	ENSG00000189143	CLDN4
174	56	879	20	0	10	ENSG00000115457	IGFBP2
92	9	21	1	0	0	ENSG00000211895	IGHA1
30	23	22	4	7	5	ENSG00000242808	SOX2-OT
21	63	21	1	6	3	ENSG00000197977	ELOVL2
94	43	127	315	2473	2418	ENSG00000130203	APOE
36	40	28	8	10	6	ENSG00000082293	COL19A1
18	21	20	3	3	3	ENSG00000234779	BNC2-AS1
296	290	213	59	21	42	ENSG00000152463	OLAH
13	19	17	10	106	120	ENSG00000144152	FBLN7
2	8	6	17	40	29	ENSG00000100867	DHRS2
24	68	12	0	8	7	ENSG00000162496	DHRS3
66	66	46	5	7	11	ENSG00000127585	FBXL16
12	11	12	96	81	106	ENSG00000162981	FAM84A
45	110	118	23	10	9	ENSG00000130751	NPAS1
2	1	3	20	27	31	ENSG00000123360	PDE1B
37	21	25	9	5	6	ENSG00000099849	RASSF7
34	18	10	5	0	0	ENSG00000181449	SOX2
135	192	61	48	31	11	ENSG00000170571	EMB
295	459	254	71	122	48	ENSG00000164220	F2RL2
36	15	12	2	2	4	ENSG00000128052	KDR
17	8	7	128	67	54	ENSG00000188064	WNT7B
27	13	6	119	157	111	ENSG00000206190	ATP10A
45	58	5	5	6	0	ENSG00000118785	SPP1
32	34	39	7	9	8	ENSG00000104998	IL27RA
85	19	26	14	4	5	ENSG00000113504	SLC12A7
55	78	50	168	342	256	ENSG00000133424	LARGE1
1157	919	1519	2481	4613	7936	ENSG00000189058	APOD
70	29	12	10	5	0	ENSG00000283267	FAM237B
5	2	2	32	23	13	ENSG00000139269	INHBE
6	8	16	18	98	44	ENSG00000138615	CILP
95	140	30	16	23	4	ENSG00000235385	LINC02154
27	25	42	109	613	419	ENSG00000129009	ISLR
57	154	163	28	24	24	ENSG00000183760	ACP7
9	15	12	24	100	32	ENSG00000154928	EPHB1
12	14	14	28	76	73	ENSG00000125675	GRIA3
12	19	17	28	69	106	ENSG00000092345	DAZL
