gene	stat
A1BG	up
ABCA1	up
ABCA3	up
ABCG1	up
AC006277.1	down
AC009090.4	down
AC020763.3	up
AC023632.6	down
AC024909.2	up
AC026401.3	down
AC078778.1	down
AC083843.3	down
AC090409.2	up
AC092803.2	down
AC092821.3	down
AC107959.3	up
AC112777.1	down
AC116407.3	down
AC241377.3	up
AC245100.3	up
ADGRB1	up
AL139385.1	up
AL606534.5	up
ALS2CL	up
ANKRD22	up
AP001157.1	up
ARHGAP11A	down
ARHGAP19	down
ARHGEF37	up
ARMC12	up
ARRDC3-AS1	up
ASF1B	down
ASNS	up
ATAD2	down
ATAD5	down
ATP8B4	up
BARD1	down
BDNF-AS	up
BEX2	up
BHLHE41	up
BLM	down
BORA	down
BRCA1	down
BRINP2	down
BRSK1	up
C15orf65	up
C17orf107	up
C1QTNF1-AS1	up
C9orf50	up
CBX2	down
CCL28	up
CCNE2	down
CDCA5	down
CDH2	down
CENPH	down
CENPK	down
CENPP	down
CENPQ	down
CENPU	down
CEP128	down
CEP152	down
CEP55	down
CES1	up
CHAF1B	down
CIT	down
CLCA1	up
CLSPN	down
CNTRL	down
CRYM-AS1	down
CU634019.1	up
CXorf57	down
CYYR1-AS1	up
DCAF12L2	down
DCDC2C	up
DCLRE1A	down
DDX12P	down
DEK	down
DENND1C	up
DHFR	down
DIAPH3	down
DMC1	down
DNA2	down
DTL	down
E2F8	down
ELOVL3	up
EME1	down
ENHO	down
ERCC6L	down
ESCO2	down
EXO1	down
EZH2	down
FAM111B	down
FAM72B	down
FAM72D	down
FANCB	down
FANCG	down
FANCI	down
FBLIM1	up
FBXO16	up
FBXO5	down
FKBP9P1	up
GALNT13	down
GALNT9	up
GAS6-AS2	up
GMNN	down
GPAT2P1	down
GPR19	down
GUCA1B	up
HASPIN	down
HEATR4	up
HELLPAR	down
HELLS	down
HIF1A-AS1	up
HIST1H2AI	up
HIST2H4B	up
HJURP	down
HLA-V	up
HLX-AS1	up
HMGB3	down
HMGN2	down
HOMER2	down
HOXA11-AS	up
IDI2-AS1	down
IER3	up
IL1B	up
IL34	up
INCENP	down
IQCC	down
KCNC3	up
KCNK15-AS1	up
KDM4D	down
KIF20B	down
KIF22	down
KLB	down
KLHL3	up
KNTC1	down
LINC01348	up
LINC01534	up
LINC01679	up
LINC02182	up
LINC02361	up
LMO7-AS1	up
LRRCC1	down
MCM2	down
MIR17HG	down
MIS18BP1	down
MMS22L	down
MTBP	down
MTFR2	down
MYRIP	down
NCAPG2	down
NEMP2	down
NOSTRIN	down
NR2C2AP	down
NSD2	down
P4HA3	down
PANX2	up
PAPPA	up
PARPBP	down
PCNA	down
PHF19	down
PIK3R3	up
PINK1	up
PLEKHN1	up
PLK4	down
PLPPR5	down
PM20D2	down
POLA1	down
POLQ	down
PRIM1	down
PRPS1P2	down
PRR11	down
PRR36	up
PSMC3IP	down
PTPRG-AS1	down
RAB3D	up
RAD51AP1	down
RAD54L	down
RAG1	up
RBL1	down
RBM48P1	up
RBP1	down
RF00004	down
RHBDL3	down
RIBC2	down
RNF39	up
ROR1-AS1	up
RPL39L	down
S100A1	up
SAT1	up
SCML2	down
SEMA4D	down
SERPINA1	up
SGSM1	up
SHCBP1	down
SKAP1	up
SPC24	down
SPRY3	up
SRPK3	up
ST6GALNAC6	up
STIL	down
TCF19	down
TEDC1	down
TFPI2	up
TICRR	down
TIMELESS	down
TMC3	up
TMEM178A	up
TMPO	down
TNFRSF9	up
TPD52L1	up
TRAIP	down
TRIM59	down
TTC39A	down
U2AF1L5	down
U62317.3	down
UBE2T	down
UHRF1	down
USP1	down
VSTM5	up
WDR34	down
WDR76	down
WEE1	down
XG	up
XRCC2	down
ZGRF1	down
ZNF367	down
ZNF497	up
ZNRF2	down
